ToolID	type	stackSize	price	EN	FR	DE	ES	BR	CN	JP	RU
wateringCan2	tool	1		Reinforced Watering Can{desc}Waters seeds two at a time. You can toggle between watering patterns.	Arrosoir renforcé{desc}Permet d'arroser deux graines à la fois. Tu peux changer de mode d'arrosage.	Verstärkte Gießkanne{desc}Gießt zwei Samen auf einmal. Du kannst zwischen Gießmustern wechseln.	Regadera reforzada{desc}Riega dos semillas a la vez. Alterna entre los diferentes patrones de riego y escoge cuántas semillas quieres regar.	Regador Reforçado{desc}Rega duas sementes de uma vez. Você pode alternar entre os padrões de regador.	强力洒水壶{desc}一次可为两颗种子浇水。可切换浇水的模式。	強化じょうろ{desc}一度に2つの種に水をやれる。パターンの切り替え可能。	Улучшенная лейка{desc}Поливает две растения за раз. Можно переключать режимы полива.
wateringCan3	tool	1		Greater Watering Can{desc}Waters seeds three at a time. You can toggle between watering patterns.	Arrosoir supérieur{desc}Permet d'arroser trois graines à la fois. Tu peux changer de mode d'arrosage.	Große Gießkanne{desc}Gießt drei Samen auf einmal. Du kannst zwischen Gießmustern wechseln.	Regadera superior{desc}Riega tres semillas a la vez. Alterna entre los diferentes patrones de riego y escoge cuántas semillas quieres regar.	Regador Melhorado{desc}Rega três sementes de uma vez. Você pode alternar entre os padrões de regador.	大型洒水壶{desc}一次可为三颗种子浇水。可切换浇水的模式。	立派なじょうろ{desc}一度に3つの種に水をやれる。パターンの切り替え可能。	Превосходная лейка{desc}Поливает три растения за раз. Можно переключать режимы полива.
wateringCan4	tool	1		Moonstone Watering Can{desc}Waters seeds in a 3x3 square. You can toggle between watering patterns.	Arrosoir en pierre de lune{desc}Permet d'arroser des graines dans une zone de 3x3. Tu peux changer de mode d'arrosage.	Mondsteingießkanne{desc}Gießt Samen in einem Bereich von 3x3 Feldern. Du kannst zwischen Gießmustern wechseln.	Regadera de piedra lunar{desc}Riega las semillas que estén dentro de un cuadrado de 3x3. Alterna entre los diferentes patrones de riego y escoge cuántas semillas quieres regar.	Regador de Selenita{desc}Rega um quadrado de 3x3 sementes. Você pode alternar entre os padrões de regador.	月石洒水壶{desc}可为 3x3 大小区域中的所有种子浇水。可切换浇水的模式。	ムーンストーンのじょうろ{desc}3x3四方の種に水をやれる。パターンの切り替え可能。	Лунная лейка{desc}Поливает растения в квадрате 3x3. Можно переключать режимы полива.
fishingRod1	tool	1		Fishing rod{desc}Used to catch fish.	Canne à pêche{desc}Permet d'attraper des poissons.	Angelrute{desc}Wird benutzt, um Fische zu fangen.	Caña de pescar{desc}Se usa para pescar.	Vara de Pesca{desc}Usada para pegar peixes.	钓鱼竿{desc}用来钓鱼。	釣りざお{desc}サカナを釣るのに使える。	Удочка{desc}Используется для ловли рыбы.
fishingRod2	tool	1		Reinforced fishing rod{desc}Used to catch fish. Fish will bite more frequently.	Canne à pêche renforcée{desc}Permet d'attraper des poissons. Les poissons mordront plus souvent.	Verstärkte Angelrute{desc}Wird benutzt, um Fische zu fangen. Fische beißen häufiger an.	Caña de pescar reforzada{desc}Sirve para pescar. Los peces pican con más frecuencia.	Vara de Pesca Reforçada{desc}Usada para pegar peixes. Os peixes mordem a isca com mais frequência.	强力钓鱼竿{desc}用来钓鱼。鱼会更频繁地咬钩。	強化釣りざお{desc}サカナを釣るのに使える。サカナが食いつきやすくなる。	Улучшенная удочка{desc}Используется для ловли рыбы. Рыба клюет чаще.
fishingRod3	tool	1		Greater fishing rod{desc}Used to catch fish. Casts further, and fish will bite faster.	Canne à pêche supérieure{desc}Permet d'attraper des poissons. La ligne est plus longue et les poissons mordront plus souvent.	Große Angelrute{desc}Wird benutzt, um Fische zu fangen. Der Köder kann weiter geworfen werden und Fische beißen schneller an.	Caña de pescar superior{desc}Sirve para pescar. Lanza el sedal más lejos y los peces tardan menos en picar.	Vara de Pesca Melhorada{desc}Usada para pegar peixes. Lança a isca mais longe e os peixes mordem mais rapidamente.	大型钓鱼竿{desc}用来钓鱼。鱼饵投掷得更远，且鱼会更快咬钩。	立派な釣りざお{desc}サカナを釣るのに使える。釣り糸を投げる距離が増え、サカナの食いつきが早くなる。	Превосходная удочка{desc}Используется для ловли рыбы. Забрасывает дальше, и рыба клюет чаще.
fishingRod4	tool	1		Moonstone fishing rod{desc}Used to catch fish. Casts further, reels in fish quicker, and fish will bite faster.	Canne à pêche en pierre de lune{desc}Permet d'attraper des poissons. La ligne est plus longue, les poissons mordront plus souvent et ils seront plus faciles à remonter.	Mondsteinangelrute{desc}Wird benutzt, um Fische zu fangen. Der Köder kann weiter geworfen werden, Fische können schneller eingeholt werden und beißen schneller an.	Caña de pescar de piedra lunar{desc}Sirve para pescar. Lanza el sedal más lejos y lo recoge más rápido. Además, los peces tardan menos en picar.	Vara de Pesca de Selenita{desc}Usada para pegar peixes. Lança a isca mais longe, puxa a linha mais agilmente e os peixes mordem a isca mais rápido.	月石钓鱼竿{desc}用来钓鱼。鱼饵投掷得更远，收竿速度更快，且鱼会更快咬钩。	ムーンストーンの釣りざお{desc}サカナを釣るのに使える。釣り糸を投げる距離が増え、リールを巻く速度が上がり、サカナの食いつきが早くなる。	Лунная удочка{desc}Используется для ловли рыбы. Забрасывает дальше, вытаскивает рыбу быстрее, и рыба клюет чаще.
glider	tool	1		Glider{desc}The main mode of transportation for any certified Alchemist. Way faster than a broom.	Planeur{desc}Le principal moyen de transport de tout alchimiste digne de ce nom. Bien plus rapide qu'un balai.	Gleiter{desc}Das wichtigste Transportmittel für zertifizierte Alchemisten. Um ein Vielfaches schneller als ein Besen.	Aerodeslizador{desc}Medio de transporte principal de todo alquimista titulado. Mucho más rápido que una escoba.	Asa-Delta{desc}O principal meio de transporte para qualquer Alquimista que se preze. Bem mais rápida que a vassoura.	滑翔机{desc}所有获得资质的魔法师的主要出行方式。比飞天扫帚快得多。	グライダー{desc}公認錬金術の主な移動手段。ホウキよりも速い。	Глайдер{desc}Основной вид транспорта любого сертифицированного алхимика. Гораздо быстрее метлы.
broom	tool	1		Broom{desc}Great for hopping between islands. Kinda slow.	Balai{desc}Pratique pour se rendre d'une île à une autre, mais assez lent.	Besen{desc}Ideal, um zwischen Inseln hin- und herzufliegen. Ein bisschen langsam.	Escoba{desc}Perfecta para saltar de una isla a otra, pero es un poco lenta.	Vassoura{desc}Ótima para saltar entre as ilhas. Um pouco lenta.	飞天扫帚{desc}在岛屿间穿梭的绝佳工具。有点慢。	ホウキ{desc}島のあいだを飛び越えるのにピッタリ。ちょっと遅い。	Метла{desc}Отлично подходит для недалеких перелетов между островами. Довольно медленная.
balloon	tool	1		Balloon{desc}Used to travel between islands and over gaps in dungeons. Travels in the direction you're facing during take off. Not the fastest (or safest) way to fly, but it gets the job done.	Ballon{desc}[size=8]Permet de voler entre les îles et de franchir les obstacles dans les donjons. Se déplace dans la direction suivie au moment du décollage. Ce n'est pas le moyen le plus rapide (ni le plus sûr) de voler, mais ça fait l'affaire.	Ballon{desc}[size=8]Wird benutzt, um von einer Insel zur anderen zu reisen und Abgründe in Verliesen zu überwinden. Fliegt in die Richtung, in die du beim Abheben blickst. Nicht das schnellste (oder sicherste) Fluggefährt, aber es tut seinen Dienst.	Globo{desc}[size=8]Se usa para viajar entre islas y salvar las grietas de las mazmorras. Te mueves en la dirección a la que mires al despegar. No es el modo más rápido ni el más seguro de volar, pero cumple su función.	Balão{desc}[size=8]Usado para viajar entre as ilhas e sobre fossos nas masmorras. Viaja na direção para a qual você estiver voltade durante a decolagem. Não é o meio mais rápido (ou mais seguro) de voar, mas funciona.	气球{desc}用于在岛屿间以及地下城的裂隙间旅行。向着起飞时的面朝方向行进。并非最快（也非最安全）的飞行方式，但可堪一用。	風船{desc}島と島を移動したり、ダンジョンで裂け目を越えるのに使う。離陸中に向いている方向へ進む。空を飛ぶのに一番速い乗り物ではないけれど（一番安全でもない）、役割は果たす。	Воздушный шар{desc}Используется для коротких перелётов между островами и в подземельях. Направление выбирается при взлёте. Не самый быстрый (или безопасный) транспорт, но справляется со своей задачей.
											
											
											
											
alchemistsWand	tool	1		Alchemist's Wand{desc}Spend Stamina to grow crops and trees super fast.	Baguette d'alchimiste{desc}Dépense de l'endurance pour faire pousser tes cultures et tes arbres super vite.	Alchemistenstab{desc}Verbrauche Ausdauer, um Pflanzen und Bäume superschnell wachsen zu lassen.	Varita de alquimista{desc}Gasta resistencia para hacer que los cultivos y los árboles crezcan muy rápido.	Bastão de Alquimista{desc}Gasta Resistência para cultivar colheitas e árvores rapidamente.	魔法师法杖{desc}通过消耗耐力让作物和树木以极快速度生长。	錬金術の杖{desc}スタミナを消費して植物や木の成長速度を上げる。	Волшебная палочка{desc}Ускоряет выращивание растений за счет Выносливости.
boomerang	tool	1		Boomerang{desc}Throw it to cut plants, stun Spirits or interact with various objects.	Boomerang{desc}Lance-le pour couper des cultures, étourdir les esprits ou interagir avec de nombreux objets.	Bumerang{desc}Wirf ihn, um Pflanzen zu schneiden, Geister zu betäuben oder mit verschiedenen Objekten zu interagieren.	Bumerán{desc}Lánzalo para cortar plantas, aturdir a los espíritus o interactuar con diferentes objetos.	Bumerangue{desc}Arremesse para cortar plantas, atordoar Espíritos ou interagir com diversos objetos.	回旋镖{desc}投掷回旋镖可收割植物、击昏精灵或与各式各样的物体互动。	ブーメラン{desc}投げると、植物を切ったり、精霊を気絶させたり、さまざまなオブジェクトを起動したりできる。	Бумеранг{desc}Бросьте его, чтобы срезать растения, оглушить Духов или взаимодействовать с различными объектами.
brush	tool	1		Spirit Brush{desc}Used to brush Spirits and make them happy and fluffy. Buffs one random stat and increases chance to drop Spirit resources.	Brosse à esprits{desc}Sert à brosser les esprits pour les rendre heureux et tout doux. Renforce un attribut aléatoire et augmente les chances d'obtenir des ressources d'esprit.	Geisterbürste{desc}Wird benutzt, um Geister zu striegeln und sie schön fluffig zu machen. Verstärkt eine zufällige Eigenschaft und erhöht die Chance, Geisterressourcen zu hinterlassen.	Cepillo para espíritus{desc}Se usa para cepillar a los espíritus y dejarlos suavecitos y contentos. Potencia un atributo al azar y aumenta la probabilidad de que suelten recursos de espíritus.	Escova de Espírito{desc}Usada para escovar os Espíritos e deixá-los alegres e fofinhos. Reforça um atributo aleatório e aumenta a chance de eles deixarem cair um Recurso de Espírito.	精灵刷{desc}用来为精灵刷毛，可使其开心并且毛发旺盛。随机获得一个属性加成，并提高精灵资源掉落的几率。	精霊のブラシ{desc}精霊の毛づくろいに使う。これで精霊も幸せでフワフワ。ランダムなステータス1つにバフ効果が付き、精霊の資源を落とす可能性が上がる。	Щетка для духов{desc}Используется для чистки Духов, делает их счастливыми и пушистыми. Улучшает один случайный аттрибут и увеличивает шанс получения субстанций.
flippers	tool	1		Flippers{desc}Put these on to swim in water and up waterfalls. Don't go off the edge!	Palmes{desc}Enfile-les pour pouvoir nager et remonter les chutes d'eau. Attention à ne pas tomber du bord des îles !	Schwimmflossen{desc}Ziehe sie an, wenn du schwimmen gehst oder um Wasserfälle hochzuschwimmen. Achte auf den Rand!	Aletas{desc}Póntelas para nadar y remontar cascadas. ¡Ten cuidado de no caerte por el borde!	Pés de Pato{desc}Coloque-os para nadar na água e subir cachoeiras. Não vá longe demais!	脚蹼{desc}穿上它们可在水里游泳以及沿瀑布而上。不要冲出边缘了噢！	フリッパー{desc}これを着ければ水中を泳いだり滝を上ったりできる。端から落ちないように注意！	Ласты{desc}Наденьте их, чтобы плавать в воде и подниматься по водопадам. Только не свалитесь с края острова!
teleporter	tool	1		Teleporter{desc}A magical stone that moves you. Throw it to transport to where it lands.	Téléporteur{desc}Pierre magique qui te transporte où tu veux. Lance-la pour te téléporter à l'endroit où elle atterrit.	Teleporter{desc}Ein magischer Stein, mit dem du dich fortbewegen kannst. Wirf ihn, um dich dorthin zu transportieren, wo er landet.	Teletransportador{desc}Piedra mágica para desplazarse. Lánzala y aparecerás en el lugar donde aterrice.	Teletransportador{desc}Uma pedra mágica que move você. Arremesse-a para se transportar para onde ela pousar.	传送石{desc}一块魔法石，可以让你瞬移。投掷传送石，可瞬移到石头落地的位置。	テレポート石{desc}移動させてくれる魔法の石。この石を投げて落ちたところに瞬間移動できる。	Телепортатор{desc}Волшебный камень для мгновенного перемещения. Бросьте его, чтобы телепортироваться туда, где он приземлится.
medallion	tool	1		Medallion{desc}A gate key to a pocket dimension wherein Spirits can be kept.	Médaillon{desc}Portail vers une dimension miniature où vivent les esprits.	Medaillon{desc}Ein Schlüssel zu einer Nebendimension, in der Geister verwahrt werden können.	Medallón{desc}Portal a una dimensión de bolsillo en la que puedes guardar a los espíritus.	Medalhão{desc}A chave para entrar na Dimensão Compactada onde os Espíritos podem ser guardados.	徽章{desc}一把门钥匙，可开启一个存放精灵的口袋维度。	メダル{desc}精霊が暮らす小さな次元へのゲートキー。	Медальон{desc}Ключ, открывающий дверь в карманное измерение для хранения Духов.
dancingShoes	tool	1		Dancing Shoes{desc}Use anywhere to bust a move!	Chaussures de danse{desc}Utilise-les où tu veux pour faire quelques pas de danse !	Tanzschuhe{desc}Du kannst sie überall benutzen, um das Tanzbein zu schwingen.	Zapatos de baile{desc}¡Póntelos para mover el esqueleto!	Sapatos de Dança{desc}Use-os em qualquer lugar para dançar!	舞鞋{desc}任何地点可用，随心起舞！	ダンスシューズ{desc}これを履いて、いろんなところでダンス！	Танцевальные туфли{desc}Танцуйте так, будто никто не смотрит. Даже если все смотрят!
warpWhistle	tool	1		Warp Whistle{desc}Teleports you back to Moonstone Island once per day.	Flûte de distorsion{desc}Te téléporte sur l'île de la Pierre de lune une fois par jour.	Warppfeife{desc}Teleportiert dich einmal am Tag zur Mondsteininsel zurück.	Flauta mágica{desc}Te teletransporta de vuelta a Isla Lunapétrea una vez al día.	Flauta Mágica{desc}Teletransporta você de volta à Ilha das Selenitas uma vez por dia.	跃迁哨{desc}每天可将你传送至月石岛一次。	ワープの笛{desc}1日に1回、ムーンストーン島へ瞬間移動で戻れる。	Волшебный свисток{desc}Телепортирует вас на Остров Лунного Камня один раз в день.
											
concoction	concoction	100	300	Concoction{desc}A distilled solution of two crops.	Préparation{desc}Mélange distillé de deux cultures.	Mixtur{desc}Eine destillierte Lösung aus zwei Pflanzen.	Brebaje{desc}Solución destilada de dos cultivos.	Preparação{desc}Uma solução destilada de duas colheitas.	调制糊糊{desc}由两种作物蒸馏而成的混合物。	調合物{desc}2つの作物を蒸留した溶液。	Настойка{desc}Дистиллированный раствор из двух культур.
											
fibre	material	100	2	Fibre{desc}Tough plant material that can be woven into cloth.	Fibre{desc}Matière végétale résistante qui peut être transformée en tissu.	Faser{desc}Stabiles Pflanzenmaterial, das zu Kleidung gewebt werden kann.	Fibra{desc}Material vegetal resistente que se teje para convertirlo en un trapo.	Capim{desc}Material vegetal resistente que pode ser transformado em tecido.	纤维{desc}坚韧的植物材料，可织成布。	繊維{desc}しっかりした植物性の素材で、編むと布を作れる。	Волокно{desc}Прочный растительный материал, который можно превратить в ткань.
wood	material	100	5	Wood{desc}Bits of tree that are used in many crafting recipes.	Bois{desc}Morceaux d'arbre utilisés dans de nombreux plans.	Holz{desc}Baumstücke, die in vielen Herstellungsrezepten verwendet werden.	Madera{desc}Trozos de árbol que se usan en muchos diseños de fabricación.	Madeira{desc}Pedaços de árvore que são usados em muitas receitas de criação.	木头{desc}可通过砍树获得，是若干制作配方的原料。	木材{desc}たくさんのクラフトレシピで使える木の破片。	Древесина{desc}Кусочки дерева, используемые во многих схемах крафта.
stone	material	100	5	Stone{desc}Bits of rock that are used in many crafting recipes.	Pierre{desc}Morceaux de rocher utilisés dans de nombreux plans.	Stein{desc}Felsstücke, die in vielen Herstellungsrezepten verwendet werden.	Piedra{desc}Trozos de roca que se usan en muchos diseños de fabricación.	Pedra{desc}Pedaços de rocha que são usados em muitas receitas de criação.	石头{desc}可通过敲砸岩石获得，是若干制作配方的原料。	石{desc}たくさんのクラフトレシピで使える岩の破片。	Щебень{desc}Кусочки камня, используемые во многих схемах крафта.
moonstone	material	100	500	Moonstone{desc}A mystical stone that emits magical energy. Glows at night.	Pierre de lune{desc}Pierre mystique qui dégage une énergie magique et brille la nuit.	Mondstein{desc}Ein mystischer Stein, der magische Energie verströmt.	Piedra lunar{desc}Piedra mística que emite una energía mágica y brilla en la noche.	Selenita{desc}Uma pedra mística que emite energia mágica. Brilha à noite.	月石{desc}一块魔法石，可发出魔法能量。在夜晚会发光。	ムーンストーン{desc}魔力を放っている不思議な石。夜に光る。	Лунный камень{desc}Мистический камень, излучающий магическую энергию. Светится ночью.
coal	material	100	5	Coal{desc}Compressed ancient plant matter, used to power Furnaces and other devices.	Charbon{desc}Ancienne matière végétale comprimée qui sert à alimenter, entre autres, les fourneaux.	Kohle{desc}Zusammengepresste uralte Pflanzen, die für den Betrieb von Hochöfen und anderen Gerätschaften verwendet werden.	Carbón{desc}Materia vegetal añeja y comprimida que se usa para alimentar las fraguas y otros dispositivos.	Carvão{desc}Antiga matéria vegetal comprimida, usada para abastecer fornalhas e outros aparatos.	煤{desc}古老植物在地底高压下的产物，用来为锻造炉以及其他设备供能。	石炭{desc}圧縮された古代の植物で、かまどなどの燃料になる。	Уголь{desc}Сжатые древние растительные останки, используется в печах и других устройствах.
oreIron	material	100	20	Iron Ore{desc}Raw metal. Can be smelted into Iron Ingots.	Minerai de fer{desc}Métal brut qui peut être transformé en lingots de fer.	Eisenerz{desc}Rohmetall. Kann zu Eisenbarren geschmolzen werden.	Hierro{desc}Metal en bruto. Se puede fundir para hacer lingotes de hierro.	Minério de Ferro{desc}Metal bruto. Pode ser fundido em barras de ferro.	铁矿石{desc}金属原料。可熔化制成铁锭。	鉄鉱石{desc}金属の元になる。溶かして鉄のインゴットを作れる。	Железная Руда{desc}Сырой металл. Можно переплавить в железные слитки.
oreCopper	material	100	10	Copper Ore{desc}Raw metal. Can be smelted into Copper Ingots.	Minerai de cuivre{desc}Métal brut qui peut être transformé en lingots de cuivre.	Kupfererz{desc}Rohmetall. Kann zu Kupferbarren geschmolzen werden.	Cobre{desc}Metal en bruto. Se puede fundir para hacer lingotes de cobre.	Minério de Cobre{desc}Metal bruto. Pode ser fundido em barras de cobre.	铜矿石{desc}金属原料。可熔化制成铜锭。	銅鉱石{desc}金属の元になる。溶かして銅のインゴットを作れる。	Медная Руда{desc}Сырой металл. Можно переплавить в медные слитки.
