reaction_perfect	Perfect!		Parfait !	Perfekt!	¡Perfecto!	Perfeito!	完美！	カンペキ！	Идеально!
									
temple_spring	Spring Temple		Temple du printemps	Frühlingstempel	Templo Primaveral	Templo da Primavera	春神庙	春の寺院	Храм Весны
temple_summer	Summer Temple		Temple de l'été	Sommertempel	Templo Veraniego	Templo do Verão	夏神庙	夏の寺院	Храм Лета
temple_fall	Fall Temple		Temple de l'automne	Herbsttempel	Templo Otoñal	Templo do Outono	秋神庙	秋の寺院	Храм Осени
temple_winter	Winter Temple		Temple de l'hiver	Wintertempel	Templo Invernal	Templo do Inverno	冬神庙	冬の寺院	Храм Зимы
									
	SHOP NAMES		NOM DES BOUTIQUES	LÄDEN	NOMBRES DE LAS TIENDAS	NOMES DAS LOJAS	商店名称	ショップ名	
shop_smithy	Smithy		Forge	Schmiede	Herrería	Ferraria	铁匠铺	鍛冶屋	Кузница
shop_tavern	Tavern		Taverne	Taverne	Taberna	Taverna	酒馆	酒場	Таверна
shop_fishingshop	Fishing Shop		Boutique de pêche	Angelladen	Tienda de pesca	Loja de Pesca	钓鱼店	釣り道具店	Рыболовный магазин
shop_conservatory	Conservatory		Jardinerie	Gewächshaus	Invernadero	Conservatório	温室	温室	Оранжерея
shop_sciencecenter	Science Center		Labo	Forschungszentrum	Centro científico	Centro de Ciências	科学中心	科学センター	Научный центр
shop_generalstore	General Store		Supérette	Krämerladen	Tienda	Armazém Geral	杂货店	雑貨店	Лавка
shop_workshop	Workshop		Atelier	Werkstatt	Taller	Oficina	工作坊	工房	Мастерская
									
hint_inventory_use	{key=ConfirmUI, mouse=RB} Use		{key=ConfirmUI, mouse=RB} Utiliser	{key=ConfirmUI, mouse=RB} Benutzen	{key=ConfirmUI, mouse=RB} Usar	{key=ConfirmUI, mouse=RB} Usar	{key=ConfirmUI, mouse=RB} 使用	{key=ConfirmUI, mouse=RB} 使用	{key=ConfirmUI, mouse=RB} Использовать
hint_inventory_gift	{key=ConfirmUI, mouse=RB} Gift		{key=ConfirmUI, mouse=RB} Offrir	{key=ConfirmUI, mouse=RB} Schenken	{key=ConfirmUI, mouse=RB} Regalar	{key=ConfirmUI, mouse=RB} Presentear	{key=ConfirmUI, mouse=RB} 赠送	{key=ConfirmUI, mouse=RB} プレゼント	{key=ConfirmUI, mouse=RB} Подарить
hint_inventory_offer	{key=ConfirmUI, mouse=RB} Offer		{key=ConfirmUI, mouse=RB} Offrir	{key=ConfirmUI, mouse=RB} Anbieten	{key=ConfirmUI, mouse=RB} Ofrecer	{key=ConfirmUI, mouse=RB} Oferecer	{key=ConfirmUI, mouse=RB} 上供	{key=ConfirmUI, mouse=RB} 提供	{key=ConfirmUI, mouse=RB} Пожертвовать
hint_inventory_sell	{key=ConfirmUI, mouse=RB} Sell		{key=ConfirmUI, mouse=RB} Vendre	{key=ConfirmUI, mouse=RB} Verkaufen	{key=ConfirmUI, mouse=RB} Vender	{key=ConfirmUI, mouse=RB} Vender	{key=ConfirmUI, mouse=RB} 出售	{key=ConfirmUI, mouse=RB} 売却	{key=ConfirmUI, mouse=RB} Продать
hint_inventory_transfer	{key=ConfirmUI, mouse=RB} Transfer; {key=Shift} Hold to transfer stack		{key=ConfirmUI, mouse=RB} Transférer;{key=Shift} Maintenir pour transférer le tout	{key=ConfirmUI, mouse=RB} Transferieren; {key=Shift} Halten, um Stapel zu transferieren	{key=ConfirmUI, mouse=RB} Transferir; {key=Shift} Mantén pulsado para transferir el montón	{key=ConfirmUI, mouse=RB} Transferir; {key=Shift} Segure para transferir a pilha	{key=ConfirmUI, mouse=RB} 转移; {key=Shift} 长按以转移物品堆	{key=ConfirmUI, mouse=RB} 移す; {key=Shift} スタックを移動する	{key=ConfirmUI, mouse=RB} Перенести; {key=Shift} (удерж.) Перенести стопку
hint_inventory_transfer_gamepad	{key=ConfirmUI} Transfer; {gamepad_only=LT_A} Transfer stack		{key=ConfirmUI} Transférer; {gamepad_only=LT_A} Transférer le tout	{key=ConfirmUI} Transferieren; {gamepad_only=LT_A} Stapel transferieren	{key=ConfirmUI} Transferir; {gamepad_only=LT_A} Transferir el montón	{key=ConfirmUI} Transferir; {gamepad_only=LT_A} Transferir a pilha	{key=ConfirmUI} 转移; {gamepad_only=LT_A} 转移物品堆	{key=ConfirmUI} 移す; {gamepad_only=LT_A} スタックを移動する	{key=ConfirmUI} Перенести; {gamepad_only=LT_A} Перенести стопку
hint_inventory_transfer_single	{key=ConfirmUI, mouse=RB} Transfer		{key=ConfirmUI, mouse=RB} Transférer	{key=ConfirmUI, mouse=RB} Transferieren	{key=ConfirmUI, mouse=RB} Transferir	{key=ConfirmUI, mouse=RB} Transferir	{key=ConfirmUI, mouse=RB} 转移	{key=ConfirmUI, mouse=RB} 移す	{key=ConfirmUI, mouse=RB} Перенести
hint_inventory_transfer_single_gamepad	{key=ConfirmUI} Transfer		{key=ConfirmUI} Transférer	{key=ConfirmUI} Transferieren	{key=ConfirmUI} Transferir	{key=ConfirmUI} Transferir	{key=ConfirmUI} 转移	{key=ConfirmUI} 移す	{key=ConfirmUI} Перенести
hint_inventory_quick_stack	{key=InventoryQuickStack} Quick stack		{key=InventoryQuickStack} Accumulation rapide	{key=InventoryQuickStack} Schnellstapeln	{key=InventoryQuickStack} Amontonar	{key=InventoryQuickStack} Empilhamento rápido	{key=InventoryQuickStack} 快速叠加	{key=InventoryQuickStack} クイック在庫移動	{key=InventoryQuickStack} Пополнить
									
									
	// These hints are appended to the above 6								
hint_inventory_default	{key=none, mouse=LB} Drag item; {key=InventorySplit} Split; {key=InventorySort} Sort; {key=Esc} Exit		{key=none, mouse=LB} Déplacer l'objet; {key=InventorySplit} Diviser; {key=InventorySort} Trier; {key=Esc} Quitter	{key=none, mouse=LB} Gegenstand bewegen; {key=InventorySplit} Teilen; {key=InventorySort} Sortieren; {key=Esc} Verlassen	{key=none, mouse=LB} Mover objeto; {key=InventorySplit} Dividir; {key=InventorySort} Ordenar; {key=Esc} Salir	{key=none, mouse=LB} Mover item; {key=InventorySplit} Dividir; {key=InventorySort} Ordenar; {key=Esc} Sair	{key=none, mouse=LB} 移动物品; {key=InventorySplit} 分开; {key=InventorySort} 排序; {key=Esc} 退出	{key=none, mouse=LB} アイテム移動; {key=InventorySplit} 分割; {key=InventorySort} ソート; {key=Esc} 終了	{key=none, mouse=LB} Перетащить; {key=InventorySplit} Разделить; {key=InventorySort} Сортировать; {key=Esc} Выход
hint_inventory_default_gamepad	{key=Shift, mouse=LB} Drag item; {key=InventorySplit} Split; {key=InventorySort} Sort; {key=Esc} Exit		{key=Shift, mouse=LB} Déplacer l'objet; {key=InventorySplit} Diviser; {key=InventorySort} Trier; {key=Esc} Quitter	{key=Shift, mouse=LB} Gegenstand bewegen; {key=InventorySplit} Teilen; {key=InventorySort} Sortieren; {key=Esc} Verlassen	{key=Shift, mouse=LB} Mover objeto; {key=InventorySplit} Dividir; {key=InventorySort} Ordenar; {key=Esc} Salir	{key=Shift, mouse=LB} Mover item; {key=InventorySplit} Dividir; {key=InventorySort} Ordenar; {key=Esc} Sair	{key=Shift, mouse=LB} 移动物品; {key=InventorySplit} 分开; {key=InventorySort} 排序; {key=Esc} 退出	{key=Shift, mouse=LB} アイテム移動; {key=InventorySplit} 分割; {key=InventorySort} ソート; {key=Esc} 終了	{key=Shift, mouse=LB} Перетащить; {key=InventorySplit} Разделить; {key=InventorySort} Сортировать; {key=Esc} Выход
									
									
hint_crafting_craft	{key=ConfirmUI, mouse=LB} Craft; {key=Esc} Exit		{key=ConfirmUI, mouse=LB} Fabriquer; {key=Esc} Quitter	{key=ConfirmUI, mouse=LB} Herstellen; {key=Esc} Verlassen	{key=ConfirmUI, mouse=LB} Fabricar; {key=Esc} Salir	{key=ConfirmUI, mouse=LB} Criar; {key=Esc} Sair	{key=ConfirmUI, mouse=LB} 制作; {key=Esc} 退出	{key=ConfirmUI, mouse=LB} 作成; {key=Esc} 終了	{key=ConfirmUI, mouse=LB} Изготовить; {key=Esc} Выход
hint_crafting_start	{key=ConfirmUI, mouse=LB} Start; {key=Esc} Exit		{key=ConfirmUI, mouse=LB} Commencer; {key=Esc} Quitter	{key=ConfirmUI, mouse=LB} Starten; {key=Esc} Verlassen	{key=ConfirmUI, mouse=LB} Comenzar; {key=Esc} Salir	{key=ConfirmUI, mouse=LB} Iniciar; {key=Esc} Sair	{key=ConfirmUI, mouse=LB} 开始; {key=Esc} 退出	{key=ConfirmUI, mouse=LB} 開始; {key=Esc} 終了	{key=ConfirmUI, mouse=LB} Начать; {key=Esc} Выход
									
UNUSEDhint_crafting_alchemylab_gamepad	{key=ConfirmUI} Transfer; {gamepad_only=RT} Drag item;  {key=InventorySplit} Split; {key=InventorySort} Sort; {key=Esc} Exit		{key=ConfirmUI} Utiliser; {gamepad_only=RT} Déplacer l'objet;  {key=InventorySplit} Diviser; {key=InventorySort} Trier; {key=Esc} Quitter	{key=ConfirmUI} Benutzen; {gamepad_only=RT} Gegenstand bewegen;  {key=InventorySplit} Teilen; {key=InventorySort} Sortieren;  {key=Esc} Verlassen	{key=ConfirmUI} Usar; {gamepad_only=RT} Mover objeto;  {key=InventorySplit} Dividir; {key=InventorySort} Sort;  {key=Esc} Salir	{key=ConfirmUI} Usar; {gamepad_only=RT} Mover item;  {key=InventorySplit} Dividir; {key=InventorySort} Ordenar;  {key=Esc} Sair	{key=ConfirmUI} 使用; {gamepad_only=RT} 移动物品;  {key=InventorySplit} 分开; {key=InventorySort} 排序;  {key=Esc} 退出	{key=ConfirmUI} 使用; {gamepad_only=RT} アイテム移動;  {key=InventorySplit} 分割; {key=InventorySort} ソート;  {key=Esc} 終了	{key=ConfirmUI} Перенести; {gamepad_only=RT} Перетащить предмет; {key=InventorySplit} Разделить; {key=InventorySort} Сортировать; {key=Esc} Выход
hint_crafting_furnace_gamepad	{key=ConfirmUI} Transfer; {gamepad_only=LT} Hold to transfer stack; {gamepad_only=RT} Drag item;  {key=InventorySplit} Split; {key=InventorySort} Sort; {key=Esc} Exit		{key=ConfirmUI} Utiliser; {gamepad_only=LT} Maintenir pour transférer le tout; {gamepad_only=RT} Déplacer l'objet;  {key=InventorySplit} Diviser; {key=InventorySort} Trier; {key=Esc} Quitter	{key=ConfirmUI} Benutzen; {gamepad_only=LT} Halten, um Stapel zu transferieren; {gamepad_only=RT} Gegenstand bewegen;  {key=InventorySplit} Teilen; {key=InventorySort} Sortieren; {key=Esc} Verlassen	{key=ConfirmUI} Usar; {gamepad_only=LT} Mantén pulsado para transferir el montón; {gamepad_only=RT} Mover objeto;  {key=InventorySplit} Dividir; {key=InventorySort} Sort; {key=Esc} Salir	{key=ConfirmUI} Usar; {gamepad_only=LT} Segure para transferir a pilha; {gamepad_only=RT} Mover item;  {key=InventorySplit} Dividir; {key=InventorySort} Ordenar; {key=Esc} Sair	{key=ConfirmUI} 使用; {gamepad_only=LT} 长按以转移物品堆; {gamepad_only=RT} 移动物品;  {key=InventorySplit} 分开; {key=InventorySort} 排序; {key=Esc} 退出	{key=ConfirmUI} 使用; {gamepad_only=LT} 長押しで移す; {gamepad_only=RT} アイテム移動;  {key=InventorySplit} 分割; {key=InventorySort} ソート; {key=Esc} 終了	{key=ConfirmUI} Перенести; {gamepad_only=LT} (удерж.) Перенести стопку; {gamepad_only=RT} Перетащить; {key=InventorySplit} Разделить; {key=InventorySort} Сортировать; {key=Esc} Выход
hint_crafting_stove_gamepad	{key=ConfirmUI} Transfer; {gamepad_only=RT} Drag item; {key=InventorySplit} Split; {key=InventorySort} Sort; {key=Esc} Exit		{key=ConfirmUI} Utiliser; {gamepad_only=RT} Déplacer l'objet;  {key=InventorySplit} Diviser; {key=InventorySort} Trier; {key=Esc} Quitter	{key=ConfirmUI} Benutzen;  {gamepad_only=RT} Gegenstand bewegen;  {key=InventorySplit} Teilen; {key=InventorySort} Sortieren; {key=Esc} Verlassen	{key=ConfirmUI} Usar; {gamepad_only=RT} Mover objeto;  {key=InventorySplit} Dividir; {key=InventorySort} Sort; {key=Esc} Salir	{key=ConfirmUI} Usar; {gamepad_only=RT} Mover item;  {key=InventorySplit} Dividir; {key=InventorySort} Ordenar; {key=Esc} Sair	{key=ConfirmUI} 使用;  {gamepad_only=RT} 移动物品;  {key=InventorySplit} 分开; {key=InventorySort} 排序; {key=Esc} 退出	{key=ConfirmUI} 使用; {gamepad_only=RT} アイテム移動;  {key=InventorySplit} 分割; {key=InventorySort} ソート; {key=Esc} 終了	{key=ConfirmUI} Перенести;  {gamepad_only=RT} Перетащить; {key=InventorySplit} Разделить; {key=InventorySort} Сортировать; {key=Esc} Выход
									
									
hint_settings_screen	{key=Esc} Exit		{key=Esc} Quitter	{key=Esc} Verlassen	{key=Esc} Salir	{key=Esc} Sair	{key=Esc} 退出	{key=Esc} 終了	{key=Esc} Выход
hint_settings_screen_gamepad	{gamepad_only=LStick} Navigate; {gamepad_only=DPad} Adjust values; {key=Esc} Exit		{gamepad_only=LStick} Parcourir; {gamepad_only=DPad} Ajuster les valeurs; {key=Esc} Quitter	{gamepad_only=LStick} Navigieren; {gamepad_only=DPad} Werte anpassen; {key=Esc} Verlassen	{gamepad_only=LStick} Navegar; {gamepad_only=DPad} Ajustar valores; {key=Esc} Salir	{gamepad_only=LStick} Navegar; {gamepad_only=DPad} Ajustar valores; {key=Esc} Sair	{gamepad_only=LStick} 导航; {gamepad_only=DPad} 调整值; {key=Esc} 退出	{gamepad_only=LStick} 移動; {gamepad_only=DPad} 数の変更; {key=Esc} 終了	{gamepad_only=LStick} Навигация; {gamepad_only=DPad} Изменить значения; {key=Esc} Выход
									
									
hint_quests	{key=UpDown, mouse=Wheel} Navigate; {key=Esc} Exit		{key=UpDown, mouse=Wheel} Parcourir; {key=Esc} Quitter	{key=UpDown, mouse=Wheel} Navigieren; {key=Esc} Verlassen	{key=UpDown, mouse=Wheel} Navegar; {key=Esc} Salir	{key=UpDown, mouse=Wheel} Navegar; {key=Esc} Sair	{key=UpDown, mouse=Wheel} 导航; {key=Esc} 退出	{key=UpDown, mouse=Wheel} 移動; {key=Esc} 終了	{key=UpDown, mouse=Wheel} Навигация; {key=Esc} Выход
hint_select	{key=ConfirmUI, mouse=LB}  Select		{key=ConfirmUI, mouse=LB} Sélectionner	{key=ConfirmUI, mouse=LB} Auswählen	{key=ConfirmUI, mouse=LB} Seleccionar	{key=ConfirmUI, mouse=LB}  Selecionar	{key=ConfirmUI, mouse=LB}  选择	{key=ConfirmUI, mouse=LB}  選択	{key=ConfirmUI, mouse=LB} Выбрать
hint_dialogue_skip	{key=ConfirmUI, mouse=LB}  Skip		{key=ConfirmUI, mouse=LB} Passer	{key=ConfirmUI, mouse=LB} Überspringen	{key=ConfirmUI, mouse=LB} Omitir	{key=ConfirmUI, mouse=LB}  Pular	{key=ConfirmUI, mouse=LB}  跳过	{key=ConfirmUI, mouse=LB}  スキップ	{key=ConfirmUI, mouse=LB} Пропустить
									
hint_harvest	{key=Confirm, mouse=RB} Harvest crop		{key=Confirm, mouse=RB} Récolter la culture	{key=Confirm, mouse=RB} Pflanze ernten	{key=Confirm, mouse=RB} Recoger cultivo	{key=Confirm, mouse=RB} Colher	{key=Confirm, mouse=RB} 收割作物	{key=Confirm, mouse=RB} 作物の収穫	{key=Confirm, mouse=RB} Собрать урожай
hint_cut_down	{key=Use, mouse=LB, touch=Tap} Cut down		{key=Use, mouse=LB, touch=Tap} Couper	{key=Use, mouse=LB, touch=Tap} Abschneiden	{key=Use, mouse=LB, touch=Tap} Cortar	{key=Use, mouse=LB, touch=Tap} Arrancar	{key=Use, mouse=LB, touch=Tap} 砍倒	{key=Use, mouse=LB, touch=Tap} 刈る	{key=Use, mouse=LB, touch=Tap} Скосить
hint_harvest_seeds	{key=Use, mouse=LB, touch=Tap, touch=Tap} Harvest seeds		{key=Use, mouse=LB, touch=Tap, touch=Tap} Récolter les graines	{key=Use, mouse=LB, touch=Tap, touch=Tap} Samen ernten	{key=Use, mouse=LB, touch=Tap, touch=Tap} Recoger semillas	{key=Use, mouse=LB, touch=Tap, touch=Tap} Colher sementes	{key=Use, mouse=LB, touch=Tap} 收割种子	{key=Use, mouse=LB, touch=Tap} 種の収穫	{key=Use, mouse=LB, touch=Tap} Собрать семена
hint_cut	{key=Use, mouse=LB, touch=Tap} Cut		{key=Use, mouse=LB, touch=Tap} Couper	{key=Use, mouse=LB, touch=Tap} Schneiden	{key=Use, mouse=LB, touch=Tap} Segar	{key=Use, mouse=LB, touch=Tap} Cortar	{key=Use, mouse=LB, touch=Tap} 剪/切/割	{key=Use, mouse=LB, touch=Tap} 刈る	{key=Use, mouse=LB, touch=Tap} Скосить
hint_activate	{key=Confirm, mouse=RB, touch=Tap} Activate		{key=Confirm, mouse=RB, touch=Tap} Activer	{key=Confirm, mouse=RB, touch=Tap} Aktivieren	{key=Confirm, mouse=RB, touch=Tap} Activar	{key=Confirm, mouse=RB, touch=Tap} Ativar	{key=Confirm, mouse=RB, touch=Tap} 激活	{key=Confirm, mouse=RB, touch=Tap} 起動	{key=Confirm, mouse=RB, touch=Tap} Активировать
hint_chop	{key=Use, mouse=LB, touch=Tap} Chop		{key=Use, mouse=LB, touch=Tap} Couper	{key=Use, mouse=LB, touch=Tap} Hacken	{key=Use, mouse=LB, touch=Tap} Talar	{key=Use, mouse=LB, touch=Tap} Derrubar	{key=Use, mouse=LB, touch=Tap} 砍	{key=Use, mouse=LB, touch=Tap} 切る	{key=Use, mouse=LB, touch=Tap} Рубить
hint_hit	{key=Use, mouse=LB, touch=Tap} Hit		{key=Use, mouse=LB, touch=Tap} Frapper	{key=Use, mouse=LB, touch=Tap} Hämmern	{key=Use, mouse=LB, touch=Tap} Golpear	{key=Use, mouse=LB, touch=Tap} Atacar	{key=Use, mouse=LB, touch=Tap} 击打	{key=Use, mouse=LB, touch=Tap} 殴る	{key=Use, mouse=LB, touch=Tap} Ударить
hint_dig	{key=Use, mouse=LB, touch=Tap} Dig		{key=Use, mouse=LB, touch=Tap} Creuser	{key=Use, mouse=LB, touch=Tap} Graben	{key=Use, mouse=LB, touch=Tap} Cavar	{key=Use, mouse=LB, touch=Tap} Cavar	{key=Use, mouse=LB, touch=Tap} 挖	{key=Use, mouse=LB, touch=Tap} 掘る	{key=Use, mouse=LB, touch=Tap} Вскопать
hint_dig_resize	{key=SpecialAction} Change size; {key=Use, mouse=LB, touch=Tap} Dig		{key=SpecialAction} Changer de taille; {key=Use, mouse=LB, touch=Tap} Creuser	{key=SpecialAction} Größe ändern; {key=Use, mouse=LB, touch=Tap} Graben	{key=SpecialAction} Cambiar tamaño; {key=Use, mouse=LB, touch=Tap} Cavar	{key=SpecialAction} Alterar tamanho; {key=Use, mouse=LB, touch=Tap} Cavar	{key=SpecialAction} 变更大小; {key=Use, mouse=LB, touch=Tap} 挖	{key=SpecialAction} サイズの変更; {key=Use, mouse=LB, touch=Tap} 掘る	{key=SpecialAction} Изменить размер; {key=Use, mouse=LB, touch=Tap} Вскопать
hint_water	{key=Use, mouse=LB, touch=Tap} Water		{key=Use, mouse=LB, touch=Tap} Arroser	{key=Use, mouse=LB, touch=Tap} Wässern	{key=Use, mouse=LB, touch=Tap} Regar	{key=Use, mouse=LB, touch=Tap} Regar	{key=Use, mouse=LB, touch=Tap} 浇灌	{key=Use, mouse=LB, touch=Tap} 水やり	{key=Use, mouse=LB, touch=Tap} Полить
hint_water_resize	{key=SpecialAction} Change size; {key=Use, mouse=LB, touch=Tap} Water		{key=SpecialAction} Changer de taille; {key=Use, mouse=LB, touch=Tap} Arroser	{key=SpecialAction} Größe ändern; {key=Use, mouse=LB, touch=Tap} Wässern	{key=SpecialAction} Cambiar tamaño; {key=Use, mouse=LB, touch=Tap} Regar	{key=SpecialAction} Alterar tamanho; {key=Use, mouse=LB, touch=Tap} Regar	{key=SpecialAction} 变更大小; {key=Use, mouse=LB, touch=Tap} 浇灌	{key=SpecialAction} サイズの変更; {key=Use, mouse=LB, touch=Tap} 水やり	{key=SpecialAction} Изменить размер; {key=Use, mouse=LB, touch=Tap} Полить
hint_dance	{key=Use, mouse=LB} Dance!		{key=Use, mouse=LB} Danser !	{key=Use, mouse=LB} Tanzen!	{key=Use, mouse=LB} ¡Bailar!	{key=Use, mouse=LB} Dançar!	{key=Use, mouse=LB} 跳舞！	{key=Use, mouse=LB} ダンス！	{key=Use, mouse=LB} Танцевать!
									
									
hint_spirit_brush	{key=Use, mouse=LB, touch=Hold} Brush		{key=Use, mouse=LB, touch=Hold} Brosser	{key=Use, mouse=LB, touch=Hold} Striegeln	{key=Use, mouse=LB, touch=Hold} Cepillar	{key=Use, mouse=LB, touch=Hold} Escovar	{key=Use, mouse=LB, touch=Hold} 刷	{key=Use, mouse=LB, touch=Hold} ブラシ	{key=Use, mouse=LB, touch=Hold} Почистить
hint_repair	{key=Use, mouse=LB, touch=Tap} Repair hole		{key=Use, mouse=LB, touch=Tap} Reboucher le trou	{key=Use, mouse=LB, touch=Tap} Loch reparieren	{key=Use, mouse=LB, touch=Tap} Tapar agujero	{key=Use, mouse=LB, touch=Tap} Consertar buraco	{key=Use, mouse=LB, touch=Tap} 修补洞	{key=Use, mouse=LB, touch=Tap} 穴を埋める	{key=Use, mouse=LB, touch=Tap} Восстановить почву
hint_plant	{key=Use, mouse=LB, touch=Tap} Plant		{key=Use, mouse=LB, touch=Tap} Planter	{key=Use, mouse=LB, touch=Tap} Pflanzen	{key=Use, mouse=LB, touch=Tap} Plantar	{key=Use, mouse=LB, touch=Tap} Plantar	{key=Use, mouse=LB, touch=Tap} 种植	{key=Use, mouse=LB, touch=Tap} 植える	{key=Use, mouse=LB, touch=Tap} Посадить
hint_fertilize	{key=Use, mouse=LB, touch=Tap} Fertilize		{key=Use, mouse=LB, touch=Tap} Fertiliser	{key=Use, mouse=LB, touch=Tap} Düngen	{key=Use, mouse=LB, touch=Tap} Fertilizar	{key=Use, mouse=LB, touch=Tap} Fertilizar	{key=Use, mouse=LB, touch=Tap} 施肥	{key=Use, mouse=LB, touch=Tap} 肥料	{key=Use, mouse=LB, touch=Tap} Удобрить
hint_pickup	{key=Confirm, mouse=RB, touch=Tap} Collect		{key=Confirm, mouse=RB, touch=Tap} Récupérer	{key=Confirm, mouse=RB, touch=Tap} Sammeln	{key=Confirm, mouse=RB, touch=Tap} Recoger	{key=Confirm, mouse=RB, touch=Tap} Coletar	{key=Confirm, mouse=RB, touch=Tap} 收集	{key=Confirm, mouse=RB, touch=Tap} 収集	{key=Confirm, mouse=RB, touch=Tap} Подобрать
									
									
hint_placeable_interact	{key=Confirm, mouse=RB} Use		{key=Confirm, mouse=RB} Utiliser	{key=Confirm, mouse=RB} Benutzen	{key=Confirm, mouse=RB} Usar	{key=Confirm, mouse=RB} Usar	{key=Confirm, mouse=RB} 使用	{key=Confirm, mouse=RB} 使用	{key=Confirm, mouse=RB} Использовать
hint_placeable_interact_pickup	{key=Confirm, mouse=RB} Use; {id=pickup, key=SpecialAction, mouse=MB} Hold to pick up		{key=Confirm, mouse=RB} Utiliser; {id=pickup, key=SpecialAction, mouse=MB} Maintenir pour prendre	{key=Confirm, mouse=RB} Benutzen; {id=pickup, key=SpecialAction, mouse=MB} Halten zum Aufnehmen	{key=Confirm, mouse=RB} Usar; {id=pickup, key=SpecialAction, mouse=MB} Mantén pulsado para coger	{key=Confirm, mouse=RB} Usar; {id=pickup, key=SpecialAction, mouse=MB} Segure para pegar	{key=Confirm, mouse=RB} 使用; {id=pickup, key=SpecialAction, mouse=MB} 长按以拾取	{key=Confirm, mouse=RB} 使用; {id=pickup, key=SpecialAction, mouse=MB} 長押しで拾得	{key=Confirm, mouse=RB} Использовать; {id=pickup, key=SpecialAction, mouse=MB} (удерж.) Подобрать
