Code	Day	Controls	EN	FR	DE	ES	BR	CN	JP	RU
hint12			Fertilizers boost crop stats	L'engrais renforce les attributs des cultures.	Düngemittel verbessern die Eigenschaften von Pflanzen.	El fertilizante mejora los atributos de los cultivos.	Fertilizantes reforçam os atributos da plantação.	肥料可以给作物属性加成	肥料は作物のステータスを強化してくれる	Удобрения повышают аттрибуты растений.
hint13			You can use the Alchemy Lab to combine the stats of two crops	Tu peux utiliser le labo d'alchimie pour combiner les attributs de deux cultures.	Im Alchemielabor kannst du die Eigenschaften zweier Pflanzen kombinieren.	Puedes usar el laboratorio de alquimia para combinar los atributos de dos cultivos.	Você pode usar o laboratório de alquimia para combinar os atributos de duas plantações.	可以使用魔法实验室将两种作物的属性结合	錬金術ラボでは2つの作物のステータスを結合させられる	Вы можете использовать Алхимическую лабораторию, чтобы объединить аттрибуты двух растений.
hint14			Craft Charms to protect yourself from environmental hazards such as poison clouds, lightning, and fire	Fabrique des amulettes pour te protéger des dangers environnementaux tels que les nuages empoisonnés, la foudre et le feu.	Erschaffe Talismane, um dich vor Gefahren wie Giftwolken, Blitzen und Feuer zu schützen.	Fabrica amuletos para protegerte de peligros ambientales, como las nubes de veneno, los rayos o el fuego.	Crie amuletos para se proteger dos perigos climáticos como nuvens de veneno, raios e fogo.	制作护身符来保护自己免受毒云、闪电、火等环境危害的伤害	毒の雲や雷、炎といった自然の脅威から身を守るにはチャームを作ろう	Создавайте Амулеты, чтобы защитить себя от опасностей окружающей среды, таких как ядовитые облака, молнии и огонь.
hint15			You can construct bridges to travel between islands	Tu peux construire des ponts pour voyager entre les îles.	Du kannst Brücken bauen, um dich von einer Insel zur anderen zu bewegen.	Puedes construir puentes para viajar entre islas.	Você pode construir pontes para viajar entre as ilhas.	可以建造桥梁在岛屿之间旅行	島と島のあいだを移動するには橋を作ろう	Вы можете строить мосты между островами.
hint16			Enclosing an area in fences will prevent Spirits from spawning in that area	Si tu clôtures une zone, aucun esprit ne pourra y apparaître.	Wenn du einen Bereich einzäunst, erscheinen dort keine Geister mehr.	Si cercas una zona, evitarás que aparezcan espíritus en su interior.	Fechar uma área com cercas prevenirá que Espíritos apareçam no local.	用栅栏围住一个区域将阻止精灵在该区域内生成	柵で囲んだエリアには精霊が近づかない	Если оградить часть территории заборами, Духи не будут появляться внутри нее.
hint17			Some crafting recipes can only be crafted at specific stations	Certains plans ne peuvent être utilisés que sur certains ateliers.	Manche Herstellungsrezepte können nur an bestimmten Arbeitsstationen hergestellt werden.	Ciertos diseños de fabricación solo pueden fabricarse en bancos concretos.	Algumas receitas de criação só podem ser criadas em estações específicas.	一些制作配方只能在特定的制作台制作	特定のステーションでしか作れないクラフトレシピもある	Некоторые предметы можно создавать только на определённых устройствах: верстаке, наковальне и т.д.
hint18			Crops with the Tame stat can be fed to wild Spirits in battle to tame them	Tu peux apprivoiser des esprits sauvages en leur donnant des cultures dotées de l'attribut Apprivoisement.	Pflanzen mit der Eigenschaft "Zähmen" können im Kampf an wilde Geister verfüttert werden, um sie zu zähmen.	Dale un cultivo con el atributo de facilidad de doma a un espíritu silvestre durante el combate para domarlo.	Plantações com atributo de Doma podem ser dadas a Espíritos Selvagens na batalha para domá-los.	可以在战斗中将具有驯服属性的作物喂给野生精灵来驯服它们	手なづけステータスを持つ作物をバトル中に野生の精霊へ食べさせれば、手なづけられる	Растения с аттрибутом "Приручение" можно скармливать диким Духам в битве, чтобы их приручить.
hint19	14		Craft Beacons to mark spots on your map	Fabrique des balises pour marquer certains emplacements sur la carte.	Stelle Leuchtfeuer her, um Orte auf deiner Karte zu markieren.	Fabrica balizas para marcar puntos en el mapa.	Crie Marcadores para marcar lugares no seu mapa.	制作信标即可在地图上标记地点	ビーコンを作ってマップにしるしを付けよう	Создавайте и устанавливайте Маяки, чтобы отмечать места на своей карте.
hint20			Many items crafted in the Decoration Station can be rotated	La plupart des objets de l'atelier de décoration peuvent être placés dans plusieurs sens.	Viele Gegenstände, die an der Dekorationsstation hergestellt wurden, können gedreht werden.	La mayoría de los objetos creados en el banco de decoración se pueden rotar.	Muitos itens criados na Estação de Decoração podem ser girados.	装饰台中制作的许多物品都可以旋转	装飾ステーションで作成したアイテムの多くは回転させられる	Многие предметы, созданные на Верстаке, можно поворачивать.
hint21			A Psychic Storm occurs on one random island every night	Tous les soirs, une tempête psychique éclate sur une île aléatoire.	Jede Nacht bricht ein Psychosturm auf einer zufälligen Insel los.	Todas las noches se desata una tormenta psíquica en alguna isla.	Uma tempestade paranormal ocorre em uma ilha aleatória toda noite.	每晚都会在一个随机岛屿上发生一场超自然风暴	サイキックストームは毎晩ランダムな島で起こる	Каждую ночь на одном случайном острове происходит магический шторм.
hint22			Craft Sprinklers so you don't have to water your crops by hand	Fabrique des arroseurs pour éviter d'avoir à arroser tes cultures manuellement.	Stelle Sprenger her, um deine Pflanzen nicht von Hand bewässern zu müssen.	Fabrica aspersores para no tener que regar manualmente los cultivos.	Crie irrigadores para não ter que regar suas plantações manualmente.	制作洒水器，这样不必动手也能给作物浇水	スプリンクラーを作れば手ずから作物に水をやらなくて済む	Создавайте Поливалки, чтобы не нужно было поливать ваши посадки вручную.
hint23			Craft a Mailbox to receive Mail wherever you place it	Fabrique une boîte à lettres pour recevoir ton courrier là où tu la places.	Stelle einen Briefkasten her, um dort Post zu erhalten, wo du ihn platzierst.	Fabrica un buzón y colócalo donde quieras recibir el correo.	Crie uma caixa de correio para receber correspondência em qualquer lugar que a colocar.	制作一个邮箱，无论把它放在哪里都可以接收邮件	好きな場所に郵便受けを作って手紙を受け取ろう	Создайте Почтовый ящик, чтобы получать почту, где бы вы ни находились.
hint24			Items sold at shops in town sell for 50% more	Les commerçants de l'île achèteront tes articles 50 % plus cher.	Gegenstände, die in Läden in der Stadt verkauft werden, bringen 50% mehr Geld.	Recibirás un 50 % más si vendes los objetos en las tiendas del pueblo.	Os itens vendidos na cidade vendem por 50% a mais.	镇上商店出售的物品，售价会高出 50%	アイテムは街にあるショップで＋50%の価格で売れる	Некоторые предметы можно продать на 50% дороже в магазинах города.
hint25			Every Friday night, everyone in town meets at the Tavern	Tous les vendredis soir, les habitants de l'île se retrouvent à la taverne.	Jeden Freitagabend treffen sich die Stadtbewohner in der Taverne.	Los viernes por la noche se reúne todo el pueblo en la taberna.	Toda sexta-feira à noite, todo mundo na cidade se encontra na Taverna.	每个星期五晚上，镇上的所有人都会来到酒馆聚会	毎週金曜日は街の全員が酒場に集まる	Каждую пятницу вечером всё население города встречается в Таверне.
hint26			Ossono's Dish of the Day may significantly increase your stamina! It may also reduce it...	Le plat du jour d'Ossono peut augmenter considérablement ton endurance, mais il peut aussi la réduire...	Ossonos Tagesgericht kann deine Ausdauer massiv erhöhen. Oder auch senken ...	El plato del día de Ossono aumenta mucho tu resistencia. Aunque también podría reducirla...	O prato do dia da Ossono pode aumentar significativamente a sua Resistência! Mas também pode reduzi-la....	奥索诺的特色菜肴有几率显著提升你的耐力！也有几率使耐力下降……	オソーノの「今日の料理」を食べると、スタミナが大幅に上がるかもしれないし、下がるかもしれない…	Блюдо Дня от Оссоны может значительно увеличить вашу выносливость! Ну или понизить - как повезет...
hint27			Don’t know what to gift? Talking to people can teach you about their likes and dislikes	Tu ne sais pas quoi offrir aux habitants de l'île ? Parle-leur pour en apprendre plus sur leurs goûts.	Du weißt nicht, was du schenken sollst? Rede mit anderen, um zu erfahren, was sie mögen und was nicht.	¿No sabes qué regalar? Habla con la gente para conocer mejor sus gustos.	Não sabe o que dar de presente? Conversar com as pessoas pode te ajudar a descobrir do que elas gostam ou não.	不知道送什么礼物？与人交谈可以让你了解他们的好恶	何をプレゼントすべきかわからない？ 会話をしていれば好き嫌いを教えてもらえる	Не знаете, что подарить? Разговоры с людьми помогут узнать, что они любят и что нет.
hint28	28		Gifting someone a Moonstone Bracelet will start a relationship with them	Si tu offres un bracelet en pierre de lune à quelqu'un, tu seras alors en couple avec cette personne.	Wenn du jemandem ein Mondsteinarmband schenkst, gehst du eine Beziehung mit dieser Person ein.	Si le regalas una pulsera de piedra lunar a alguien, significa que quieres iniciar una relación.	Dar um bracelete de Selenita a alguém inicia um relacionamento.	赠送某人月石手镯将使你们开启一段交往关系	ムーンストーンのブレスレットを渡すと交際が始まる	Подарите Лунный Браслет, чтобы начать отношения с человеком.
hint29	28		Gifting someone a Grass Bracelet will end a relationship with them	Si tu offres un bracelet végétal à quelqu'un, tu mettras un terme à ta relation avec cette personne.	Wenn du jemandem ein Grasarmband schenkst, beendest du eine Beziehung mit dieser Person.	Si le regalas una pulsera de hierba a alguien, significa que quieres terminar la relación.	Dar um bracelete de grama a alguém termina um relacionamento.	赠送某人青草手环将使你们结束一段交往关系	草のブレスレットを渡すと交際が終わる	Подарите Травяной Браслет, чтобы закончить отношения.
hint30			Moonstone Bracelets and Grass Bracelets can be unlocked on the Social skill tree	Le bracelet en pierre de lune et le bracelet végétal se débloquent sur l'arbre des compétences sociales.	Mondsteinarmbänder und Grasarmbänder können im Fähigkeitsbaum "Soziales" freigeschaltet werden.	Las pulseras de piedra lunar y de hierba se desbloquean desde el árbol de habilidades Social.	Os braceletes de Selenita e os braceletes de grama podem ser desbloqueados na árvore de habilidade social.	可以在社交技能树上解锁月石手镯和青草手环	ムーンストーンのブレスレットと草のブレスレットは「人間関係」スキルツリーでアンロック可能だ	Лунный и Травяной браслеты можно разблокировать в дереве навыков.
hint31			Feed debuffing crops and concoctions to enemy Spirits to weaken them	Tu peux affaiblir les esprits ennemis en leur donnant des préparations et des cultures aux attributs négatifs.	Verfüttere schwächende Pflanzen und Mixturen an feindliche Geister, um sie zu schwächen.	Dales cultivos y brebajes con desventajas a los espíritus enemigos para debilitarlos.	Alimente os Espíritos inimigos com plantações ou preparações de enfraquecimento para enfraquecê-los.	向敌方的精灵喂食具有减益效果的作物和调制糊糊来削弱它们	敵対している精霊にデバフ効果のある作物や調合物を食べさせれば、弱体化させられる	Скармливайте врагам растения и настойки, которые снижают аттрибуты, чтобы ослабить их.
hint32			Taming an enemy Spirit is a quick way to win the battle!	Apprivoiser un esprit ennemi est un moyen très rapide de remporter un combat !	Einen feindlich gesonnenen Geist zu zähmen, ist ein schneller Weg, den Kampf zu gewinnen.	¡Doma a un espíritu para ganar el combate en un abrir y cerrar de ojos!	Domar um Espírito inimigo é uma forma rápida de vencer a batalha!.	驯服敌方的精灵是赢得战斗的高效方法！	敵対している精霊を手なづければ、バトルに簡単に勝利できる！	Приручение враждебного Духа — быстрый способ выиграть битву!
hint33			Decks with fewer cards are more predictable	Les decks composés de peu de cartes sont plus prévisibles.	Decks mit weniger Karten sind berechenbarer.	Los mazos con pocas cartas son más predecibles.	Baralhos com poucas cartas são mais previsíveis.	卡牌数较少的卡组更容易预测	デッキのカード数は少ないほど不利だ	Колоды с меньшим количеством карт более предсказуемы.
hint34			The number of cards in your draw and discard piles is shown above the buttons on the left in battle	Le nombre de cartes de ta pioche et de ta défausse est indiqué au-dessus des boutons situés à gauche lors d'un combat.	Wie viele Karten in deinem Nachzieh- und Ablagestapel sind, siehst du im Kampf über den Feldern auf der linken Seite.	Durante el combate, se muestra el número de cartas que hay en el mazo y en la pila de descartes encima de los botones de la izquierda.	O número de cartas em sua pilha de compra e descarte é mostrado acima dos botões à esquerda da batalha.	在战斗中，抽牌堆和弃牌堆中的卡牌数显示左侧按钮的上方	バトル中、手札と捨て札のカード数は左のボタンの上に表示される	Количество карт в колоде для розыгрыша и сброшенных карт отображается над кнопками слева в бою.
hint35			Raising your Spirit's Power stat will make their attacks do more damage	Si tu augmentes la puissance de ton esprit, ses attaques infligeront plus de dégâts.	Wenn du die Kraft deines Geists steigerst, verursachen seine Angriffe mehr Schaden.	Aumenta el Vigor de tu espíritu para que sus ataques inflijan más daño.	Elevar o atributo de Poder do seu Espírito fará com que os ataques causem mais dano.	提高精灵的能量属性将使它们的攻击造成更大伤害	精霊のパワーを上昇させると攻撃時の与ダメージが増える	Повышение Силы в вашего Духа увеличивает урон от его атак.
hint36			Raising your Spirit's Speed stat will make their Bash cards remove more Armor	Si tu augmentes la vitesse de ton esprit, ses cartes Impact réduiront davantage l'armure des ennemis.	Wenn du das Tempo deines Geists steigerst, entfernen seine Hieb-Karten mehr Rüstung.	Aumenta la Velocidad de tu espíritu para que sus cartas de Aporrear eliminen más Armadura.	Elevar o atributo de Velocidade do seu Espírito fará com que as cartas Golpear removam mais Armadura.	提高精灵的速度属性将使它们的猛击卡消除更多防御	精霊のスピードを上昇させると「なぐる」で減らせるアーマー数が増える	Повышение Скорости вашего Духа позволяет его картам "Таран" снимать больше брони.
hint37			As your Spirit reaches higher levels, rarer cards will show up during level up	Lorsque ton esprit atteint un certain niveau, des cartes plus rares apparaîtront à chaque gain de niveau.	Je höher die Stufe deines Geists, desto seltener die Karten beim Stufenaufstieg.	A medida que tu espíritu suba de nivel, irán apareciendo cartas más inusuales.	Conforme seu Espírito alcança níveis mais altos, cartas mais raras aparecerão durante a subida de nível.	当你的精灵达到更高等级时，升级过程中会出现更稀有的卡牌	精霊のレベルが上がると、レベルアップ中に現れるカードのレア度も上がる	Чем выше уровень вашего Духа, тем чаще он получает редкие карты при повышении уровня.
hint38			Brushing and feeding Spirits make them happy. Happy Spirits are more likely to drop Spirit Resources	Brosse et nourris tes esprits pour les rendre heureux, ce qui leur confère plus de chances de donner des ressources.	Wenn du Geister striegelst und fütterst, sind sie glücklich. Glückliche Geister erzeugen mit höherer Wahrscheinlichkeit Geisterressourcen.	Cepilla y da de comer a los espíritu para hacerlos felices. Si un espíritu está contento, es más probable que suelte recursos de espíritus.	Escovar e alimentar os Espíritos os deixam felizes. Espíritos felizes têm mais chances de deixar cair recursos de Espírito.	给精灵刷毛和喂食让它们心情愉快。快乐的精灵有更大几率掉落精灵资源	精霊にエサをやったりブラシをかけたりしてやると、喜んで精霊の資源を落としやすくなる	Чистка и кормление Духов делают их счастливыми. Счастливые Духи чаще дают Субстанции.
hint39			Spirits in the medallion don’t need to eat every day, but you can still feed them crops to increase their stats	Les esprits dans ton médaillon n'ont pas besoin d'être nourris tous les jours, mais tu peux quand même leur donner à manger pour augmenter leurs attributs.	Die Geister im Medaillon müssen nicht jeden Tag fressen, aber du kannst sie trotzdem mit Pflanzen füttern, um ihre Eigenschaften zu verbessern.	Los espíritus que están en el medallón no necesitan comer todos los días, pero puedes darles cultivos igualmente para mejorar sus atributos.	Os Espíritos no medalhão não precisam comer todos os dias, mas você ainda pode alimentá-los com plantações para aumentar os atributos deles.	徽章中的精灵不需要每天进食，但你仍然可以给它们喂食作物来提升它们的属性	メダル内の精霊は毎日エサをやる必要はないけれど、ステータスを上げるにはエサをやろう	Духи в медальоне не нуждаются в ежедневном кормлении, но вы всё равно можете кормить их, чтобы повысить их аттрибуты.
hint40			Some Spirits have abilities which are activated only when they are following you	Certains esprits possèdent des aptitudes qui s'activent uniquement lorsqu'ils te suivent.	Manche Geister besitzen Fähigkeiten, die erst aktiviert werden, wenn sie dir folgen.	Algunos espíritus tienen ciertas habilidades que solo se activan cuando te siguen.	Alguns Espíritos têm habilidades que só são ativadas quando eles estão te seguindo.	有些精灵拥有只有在跟随你时才会激活的能力	後ろをついてきているときだけ発動するアビリティを持つ精霊もいる	Некоторые Духи обладают умениями, которые активируются только тогда, когда они следуют за вами.
hint41			The dial on the outer edge of your compass indicates how strong the Spirits are on the island you are on	Le cadran qui entoure ta boussole t'indique le niveau des esprits sur l'île où tu te trouves.	Das Rad am Rand deines Kompasses zeigt an, wie stark die Geister auf der Insel sind, auf der du gerade bist.	El disco externo de la brújula indica lo fuertes que son los espíritus de la isla en la que te encuentras.	O mostrador na borda externa da sua bússola indica quão forte os Espíritos são na ilha atual.	指南针外缘的刻度盘会显示你所在岛屿上的精灵有多强大	コンパスの外縁にある目盛りは、現在地の島にいる精霊の強さを示している	Шкала на вашем компасе показывает, насколько сильны Духи на том острове, где вы находитесь.
hint42			Sleep in your bed or rent a room in the tavern to have a good night's sleep	Dors dans ton lit ou loue une chambre à la taverne pour bénéficier d'un sommeil réparateur.	Schlaf in deinem Bett oder nimm dir ein Zimmer in der Taverne, um eine geruhsame Nacht zu verbringen.	Duerme en tu cama o alquila una habitación en la taberna para descansar bien por la noche.	Durma na sua cama ou alugue um quarto na Taverna para ter uma boa noite de sono.	睡在自己的床上或在酒馆租个房间，睡个好觉	ベッドで眠るか酒場で部屋を借りると、ぐっすり眠れる	Спите в своей постели или арендуйте комнату в таверне, чтобы хорошо выспаться.
hint43			Dates always start at 20:00. Don't be late!	Les rendez-vous commencent toujours à 20 heures. Ne sois pas en retard !	Rendezvous fangen immer um 20 Uhr an. Komm nicht zu spät!	Las citas siempre empiezan a las 20:00, ¡no llegues tarde!	Os encontros sempre começam às 20h00. Não se atrase!	约会总是从 20:00 开始别迟到了！	デートは必ず20時に始まる。遅れないように！	Свидания всегда начинаются в 20:00. Не опаздывайте!
hint44			Sometimes you can find a treasure when fishing	Parfois, tu peux trouver un trésor en pêchant.	Manchmal findest du beim Fischen einen Schatz.	Puedes encontrar algún que otro tesoro pescando.	Às vezes você pode encontrar um tesouro enquanto pesca.	有时钓鱼时还能发现宝藏	釣りをしていると宝物が見つかることがある	Иногда можно найти сокровище при рыбалке.
hint45			Some shops update their stock daily	Certaines boutiques mettent leurs stocks à jour quotidiennement.	Manche Läden haben jeden Tag ein anderes Angebot.	Algunas tiendas actualizan sus existencias todos los días.	Algumas lojas atualizam o estoque diariamente.	有些商店每天都会更新库存	毎日在庫を更新するお店もある	Некоторые магазины обновляют свой ассортимент ежедневно.
hint46			Find new crafting recipes by exploring the world and completing quests	Trouve de nouveaux plans en explorant le monde et en accomplissant des quêtes.	Finde neue Herstellungsrezepte, indem du die Welt erkundest und Quests abschließt.	Explora el mundo y completa misiones para encontrar diseños de fabricación nuevos.	Encontre novas receitas de criação explorando o mundo e completando missões.	通过探索世界和完成任务来寻找新的制作配方	冒険したりクエストをクリアしたりして新しいレシピを見つけよう	Находите новые схемы для крафта, исследуя мир и выполняя поручения.
hint47		gamepad	Hold R trigger to Sprint	Maintiens la gâchette droite pour courir.	Halte RT gedrückt, um zu sprinten.	Mantén pulsado el gatillo derecho para correr.	Segure o gatilho direito para correr.	按住右扳机键进行冲刺	「Rトリガー」長押しでダッシュする	Удерживайте правый триггер на контроллере, чтобы передвигаться быстрее.
hint48		gamepad	Click the left thumbstick to hide the UI	Appuie sur le stick gauche pour masquer l'interface.	Drücke den linken Stick, um die Spielanzeigen auszublenden.	Pulsa la palanca izquierda para ocultar la interfaz.	Clique com o direcional analógico esquerdo para ocultar a interface do usuário.	按一下左摇杆隐藏 UI	サムスティック（左）を押すとUIが非表示になる	Нажмите левый стик, чтобы скрыть интерфейс.
hint49		gamepad	Use the right thumbstick to adjust the camera	Utilise le stick droit pour régler la caméra.	Benutze den rechten Stick, um die Kamera einzustellen.	Utiliza la palanca derecha para ajustar la cámara.	Use o direcional analógico direito para ajustar a câmera.	使用右摇杆调整视角	サムスティック（右）でカメラを調整できる	Используйте правый стик, чтобы подвинуть камеру.
hint50		keyboard	Use keys 1 to 0 to quickly select a slot in your toolbar	Utilise les touches de 1 à 0 pour sélectionner rapidement un emplacement dans ta barre d'objets.	Benutze die Tasten 1 bis 0, um schnell einen Platz in deiner Werkzeugleiste auszuwählen.	Usa los números del 1 al 0 para seleccionar una ranura de la barra de herramientas.	Use as teclas de 1 a 0 para selecionar rapidamente um espaço na sua barra de ferramentas.	使用 1 至 0 键快速选择工具栏中的栏位	キー「1」～「0」でツールバーのスロットをすばやく選択できる	Используйте клавиши 1–0, чтобы выбрать слот в панели быстрого доступа.
hint51			You can craft multiple ingots in the furnace	Tu peux fabriquer plusieurs lingots dans le fourneau.	Am Hochofen kannst du mehrere Barren herstellen.	Puedes fabricar varios lingotes en la fragua.	Você pode criar várias barras na fornalha.	你可以在锻造炉里制作多个金属锭。	かまどでは複数のインゴットが作れます	В печи можно выплавлять несколько слитков одновременно. 
hint52			Islands can be zoomed in on when using the map	Tu peux zoomer sur les îles quand tu utilises la carte.	Benutzt du die Karte, kannst du Inseln ranzoomen.	Puedes ampliar las islas al usar el mapa.	Você pode aumentar ou diminuir o zoom das ilhas usando o mapa.	使用地图时可以放大，仔细地查看岛屿。	マップを使うと、島々を拡大できます	Нажмите на остров на карте, чтобы увеличить его.
hint53			You can place items on placeable walls	Tu peux placer des objets sur certains murs.	An platzierbaren Wänden kannst du Gegenstände platzieren.	Se pueden colocar objetos en las paredes que lo permitan.	Você pode colocar itens em paredes alocáveis.	你可以在具有收纳功能的墙壁上放置物品。	設置可能な壁にはアイテムを置けます	Размещайте большие и маленькие стены для перепланировки помещения.
hint54		keyboard	You can click+hold to craft multiple items	Tu peux cliquer et maintenir pour fabriquer plusieurs objets d'un coup.	Mit Klicken+Halten stellst du mehrere Gegenstände her.	Haz clic y mantén pulsado para fabricar varios objetos.	Você pode clicar+segurar para criar vários itens.	你可以“点击+长按”，制作多个物品。	クリック＋長押しで、複数のアイテムを作成できます	Удерживайте кнопку мыши, чтобы изготовить сразу много предметов.
hint55		keyboard	You can click+hold to feed multiple crops to spirits	Tu peux cliquer et maintenir pour donner plusieurs cultures à manger à tes esprits.	Mit Klicken+Halten fütterst du Geister mit mehreren Pflanzen.	Haz clic y mantén pulsado para darles varios cultivos a los espíritus.	Você pode clicar+segurar para alimentar Espíritos com várias colheitas.	你可以“点击+按住”，给精灵喂食多种作物。	クリック＋長押しで、精霊に複数の作物を与えられます	Удерживайте кнопку мыши, чтобы скормить Духу сразу несколько растений.
hint56			Magic Man sometimes sells shop-exclusive cards	Le mage vend parfois des cartes exclusives.	Der Magier verkauft manchmal Karten, die es nur im Laden gibt.	A veces, el mago vende cartas exclusivas en la tienda.	Às vezes, o Homem Mágico vende cartas exclusivas na loja.	魔术师有时会出售商店专属卡牌。	魔法使いはときどき、ショップ限定のカードを売っています	Волшебник иногда продаёт эксклюзивные карты в своём магазине. 
