Code	Objectives	EN	OBJ_EN	FR	FR_OBJ	DE	DE_OBJ	ES	ES_OBJ	BR	BR_OBJ	CN	CN_OBJ	JP	OBJ_JP	RU	RU_OBJ
tavernkeeper_meet_locals	tavernkeeper;botanist;herbalist;blacksmith;artist;fisherman;shopkeeper;carpenter;professor;historian	Meet the Locals{desc}Ossono said I should introduce myself to all the villagers. The Tavern might be a good place to start, especially on a Friday!	Meet Ossono;Meet Ofelia;Meet Gaiana;Meet Ferra;Meet Quill;Meet Tobin;Meet Rowan;Meet Paolo;Meet Zed;Meet Cleo	Rencontrer les habitants{desc}Ossono m'a conseillé d'aller à la rencontre des habitants de l'île. La taverne me semble être un bon point de départ, surtout le vendredi !	Rencontrer Ossono;Rencontrer Ofélia;Rencontrer Gaïana;Rencontrer Ferra;Rencontrer Quill;Rencontrer Tobin;Rencontrer Rowan;Rencontrer Paolo;Rencontrer Zed;Rencontrer Cléo	Ein erstes Hallo{desc}Ossono hat gesagt, ich sollte mich den Dorfbewohnern vorstellen. Die Taverne ist möglicherweise der richtige Ort dafür, vor allem freitags.	Triff Ossono;Triff Ofelia;Triff Gaiana;Triff Ferra;Triff Quill;Triff Tobin;Triff Rowan;Triff Paolo;Triff Zed;Triff Cleo	Conoce a los lugareños{desc}Ossono dijo que debería presentarme a mis nuevos vecinos. La taberna no es mal sitio para empezar, sobre todo hoy, que es viernes.	Saluda a Ossono;Saluda a Ofelia;Saluda a Gaiana;Saluda a Ferra;Saluda a Púo;Saluda a Tobin;Saluda a Rowan;Saluda a Paolo;Saluda a Zed;Saluda a Cleo	Conhecendo os habitantes{desc}Ossono disse que eu deveria me apresentar para todas as pessoas. A Taverna deve ser um bom lugar para começar, especialmente em uma sexta-feira!	Conhecer Ossono;Conhecer Ofélia;Conhecer Gaiana;Conhecer Ferra;Conhecer Quill;Conhecer Tobin;Conhecer Rowan;Conhecer Paolo;Conhecer Zed;Conhecer Cléo	认识当地人{desc}奥索诺说我应该向所有的村民介绍自己。去酒馆也许是个不错的开始，特别是在周五！	认识奥索诺;认识奥菲莉娅;认识盖娅娜;认识费拉;认识奎尔;认识托宾;认识罗文;认识保罗;认识泽德;认识克莉奥	地元の人との対面{desc}オソーノに村の人みんなに自己紹介するべきだって言われた。酒場から始めるのがいいかもしれない。特に金曜日！	オソーノと会う;オフェーリアと会う;ガイアナと会う;フェラーと会う;クイルと会う;トービンと会う;ローワンと会う;パオロと会う;ゼッドと会う;クレオと会う	Знакомство с жителями{desc}Оссоно сказала, что мне следует познакомиться со всеми жителями города. Пожалуй, можно начать с посещения Таверны, скажем, в пятницу вечером!	Познакомься с Оссоно;Познакомься с Офелией;Познакомься с Гайаной;Познакомься с Феррой;Познакомься с Квиллом;Познакомься с Тобином;Познакомься с Роуэном;Познакомься с Паоло;Познакомься с Зеттом;Познакомься с Клео
tavernkeeper_dungeon	find;clear	Explore the Dungeon{desc}Ossono said there's a dungeon north-east of town, near the Hot Spring. She said there might be cool stuff in there. I love cool stuff!	Find the dungeon;Activate the Ando tree inside	Explorer le donjon{desc}Ossono m'a dit qu'il y avait un donjon au nord-est de l'île, près de la source chaude. Elle a ajouté que j'y trouverais peut-être des trucs intéressants. Ça tombe bien, j'adore les trucs intéressants !	Trouver le donjon;Activer l'arbre Ando à l'intérieur	Erkunde das Verlies{desc}Ossono hat gesagt, es gibt ein Verlies nordöstlich der Stadt in der Nähe der Heißquelle. Sie hat gesagt, dass es dort cooles Zeug geben könnte. Ich liebe cooles Zeug!	Finde das Verlies;Aktiviere den Andobaum darin	Explora la mazmorra{desc}Ossono dijo que hay una mazmorra al noreste del pueblo, cerca de las fuentes termales, y también mencionó que a lo mejor encontraba cosas chulas, ¡qué guay!	Encuentra la mazmorra;Activa el árbol Ando que hay dentro	Explorando a masmorra{desc}A Ossono disse que tem uma masmorra no nordeste da cidade, perto da fonte termal. Ela disse que deve ter umas coisas legais lá. Adoro coisas legais!	Encontrar a masmorra;Ativar a Árvore Anciã lá dentro	探索地下城{desc}奥索诺说镇上东北边的温泉附近有一个地下城。她说在那里好像可以找到很酷的东西。我喜欢很酷的东西！	找到地下城;激活里面的安藤树	ダンジョン探索{desc}オソーノが言うには、町の北東の温泉近くにダンジョンがあるらしい。中にはすごいものがあるかもしれないって。すごいものは大好き！	ダンジョンを見つける;中にあるアンドの木を起動する	Исследование подземелья{desc}Оссоно сказала, что на северо-восток от города, около Горячего Источника, есть подземелье. Там, по её словам, можно найти крутые штуки. Обожаю крутые штуки!	Найди подземелье;Активируй дерево Андо в подземелье
tavernkeeper_infinidungeon	enter	Under the Hatch{desc}Ossono told me of strange and dangerous things in the basement under the tavern. Should I open it and find out what's down there?	Open the basement hatch in the tavern next to the stage	Sous la trappe{desc}Ossono m'a raconté qu'il y avait des choses étranges et dangereuses dans le sous-sol de la taverne. Je devrais peut-être l'ouvrir pour voir ce qui s'y cache...	Ouvrir la trappe qui mène au sous-sol de la taverne, près de la scène	Unter der Luke{desc}Ossono hat von unheimlichen, gefährlichen Dingen erzählt, die im Keller unter der Taverne lauern sollen. Soll ich die Luke öffnen und nachsehen, was da unten ist?	Öffne die Kellerluke in der Taverne neben der Bühne.	Bajo la trampilla{desc}Ossono me ha hablado de las cosas extrañas y peligrosas que hay en el sótano bajo la taberna. ¿Debería abrir la trampilla y descubrir qué hay ahí abajo?	Abre la trampilla del sótano al lado del escenario de la taberna	Sob a Escotilha{desc}Ossono me contou sobre coisas estranhas e perigosas no porão sob a taverna. Devo abrir e descobrir o que há lá embaixo?	Abra a escotilha do porão ao lado do palco da taverna	地门之下{desc}奥索诺跟我说了酒馆的地下室里那个奇异又危险的东西。我该不该去打开看看那下面有什么？	打开位于酒馆内舞台旁边的地下室门	ハッチの下へ{desc}オソーノが言うには、酒場の地下には奇妙で危険なものがあるらしい。何があるのか、ハッチを開いて探しに行こうか？	酒場でステージの隣にある地下へのハッチを開く	Подполье{desc}Оссоно рассказала о странных и опасных вещах, творящихся в подвале под таверной. Стоит ли мне открыть его и узнать, что там внизу?	Открой люк в подвал в таверне, рядом со сценой
																	
professor_invitation	visit	Visit the Professor{desc}I should get to know the guy who runs the Science Center. I think his name was a letter of the alphabet?	Visit the professor	Aller voir le professeur{desc}Je dois faire connaissance avec le gars qui s'occupe du labo. Je crois que son nom se prononce comme une lettre de l'alphabet.	Aller voir le professeur	Besuche den Professor{desc}Ich sollte den Mann kennenlernen, der das Forschungszentrum leitet. Ich glaube, sein Name war ein Buchstabe aus dem Alphabet.	Besuche den Professor	Visita al profesor{desc}No estaría mal conocer a la persona que está al mando del centro científico. Creo que su nombre empezaba por la zeta...	Visita al profesor	Visite o Professor{desc}Eu deveria conhecer a pessoa que cuida do Centro de Ciências. Acho que o nome dele começava com uma das últimas letras do alfabeto.	Visitar o professor	拜访教授{desc}我应该去认识一下管理科学中心的那个人。他的名字好像是字母表的一个字母？	拜访教授	教授訪問{desc}科学センターを管理してる人と知り合いになった方がよさそう。彼の名前はアルファベットだった気がする…	教授を訪ねる	Визит к Профессору{desc}Мне надо бы познакомиться с парнем, который заведует Научным Центром. Кажется, у него имя, как одна из букв греческого алфавита?	Навести Профессора
professor_research1	tame_level_5;turn_in;letter	Spirit Research: Taming Spirits 101{desc}The Professor asked me to tame a Spirit of any level, and in return he'll give me the Spirit Barn blueprints.^^Taming Spirits is easy: I just have to feed them any crop that says it has the power to tame. Finding higher-level Spirits is harder, because I have to travel to islands that are a bit further away. Scary!	Tame a Spirit;Turn in research at the Science Center;Wait for a letter from Zed	Esprits : le b.a.-ba de l'apprivoisement{desc}Le professeur m'a demandé d'apprivoiser un esprit, quel que soit son niveau. En échange, il me donnera un plan pour construire un abri à esprits.^^Ce n'est pas très compliqué d'apprivoiser des esprits, je dois juste leur donner une culture dotée de la capacité à les apprivoiser. Là où ça se complique, c'est pour trouver des esprits de niveau plus élevé, parce que je dois me rendre sur des îles plus éloignées... Pas très rassurant !	Apprivoiser un esprit;Transmettre des données sur les esprits au labo;Attendre de recevoir du courrier de Zed	Geister: Geisterzähmen leicht gemacht{desc}Der Professor hat mich gebeten, einen Geist einer beliebigen Stufe zu zähmen, und er wird mir im Gegenzug die Baupläne für die Geisterscheune geben.^^Geister zu zähmen, ist leicht: Ich muss ihnen nur eine Pflanze zu fressen geben, die Geister zähmen kann. Höherstufige Geister sind da schon schwerer zu finden, denn ich muss zu Inseln reisen, die etwas weiter entfernt sind. Unheimlich!	Zähme einen Geist;Reiche deine Forschung beim Forschungszentrum ein;Warte auf einen Brief von Zed	Espíritu: doma{desc}El profesor me ha pedido que dome a un espíritu de cualquier nivel y, a cambio, me dará los planos para construir un establo para espíritus.^^Domar a un espíritu es fácil; solo hay que darle de comer cualquier cultivo que tenga el atributo de facilidad de doma. Otra cosa sería si quisiera encontrar espíritus de nivel alto, porque para ello tendría que viajar a alguna isla lejana. ¡Qué miedo!	Doma a un espíritu;Entrega el informe en el centro científico;Espera a recibir una carta de Zed	Espíritos: doma de Espírito 101{desc}O professor me pediu para domar um Espírito de qualquer nível, e em troca ele vai me dar projetos para a Morada dos Espíritos.^^Domar Espíritos é fácil: só preciso alimentá-los com qualquer colheita que tenha poder de doma. Encontrar Espíritos de nível alto é difícil, porque eu tenho que viajar entre as ilhas que são um pouco longe daqui. É assustador!	Domar um Espírito;Entregar a pesquisa no Centro de Ciências;Aguardar por uma carta de Zed	精灵研究：驯服精灵基础手册{desc}教授让我驯服一个任意等级的精灵，作为回报，他会给我精灵棚的蓝图。^^驯服精灵很简单：只需要给精灵喂食具有驯服力的作物就可以了。找到高级精灵比较困难，因为我必须去稍微远一点的岛屿。好可怕！	驯服一个精灵;在科学中心提交精灵以供研究;等待泽德的来信	精霊の研究：精霊の懐柔101{desc}どのレベルでもいいから精霊を手なづけるよう、教授に頼まれた。お礼に精霊の小屋の設計図をくれるらしい。^^精霊を手なづけるのは簡単。手なづける力を持つ作物を与えればいい。^レベルの高い精霊を見つけるのは、もっとむずかしい。少し遠くにある島へ行かなくちゃいけないから。怖いよ！	精霊を手なづける;科学センターで調査を提出する;ゼッドからの手紙を待つ	Наука о духах: Основы приручения{desc}Профессор попросил меня приручить Духа любого уровня, и взамен он даст мне чертежи Амбара для их содержания.^Приручить Духа несложно: просто надо покормить их любым растением, обладающим эффектом приручения. А вот если я захочу найти Духов более высокого уровня, мне придется отправиться на далекие острова. Жуть какая!	Приручи Духа;Сдай исследовательские данные в Научный Центр;Дождись письма от Зетта
professor_research2	spirits:10;turn_in;letter	Spirit Research: Spirit Basics{desc}The Professor asked me to discover at least ten Spirits for his research. As a reward, he's going to give me an item that lets me see a Spirit's level above its head when I'm out in the field!	Discover 10 different spirits;Turn in research at the Science Center;Wait for a letter from Zed	Esprits : apprentissage des bases{desc}Le professeur m'a demandé de découvrir au moins dix esprits pour ses recherches. En récompense, il me donnera un objet qui me permettra de voir le niveau d'un esprit quand j'explore !	Découvrir 10 esprits différents;Transmettre des données sur les esprits au labo;Attendre de recevoir du courrier de Zed	Geister: Geisterkunde{desc}Der Professor hat mich gebeten, mindestens 10 Geister für seine Forschung zu entdecken. Als Belohnung wird er mir einen Gegenstand geben, durch den die Stufe eines Geists über dessen Kopf erscheint, wenn ich im Einsatz bin.	Entdecke 10 verschiedene Geister;Reiche deine Forschung beim Forschungszentrum ein;Warte auf einen Brief von Zed	Espíritu: fundamentos{desc}El profesor me ha pedido que descubra al menos diez espíritus para su informe. Como recompensa, me dará un objeto con el que podré ver el nivel de un espíritu sobre su cabeza cuando esté ahí fuera.	Descubre 10 espíritus diferentes;Entrega el informe en el centro científico;Espera a recibir una carta de Zed	Espíritos: noções básicas{desc}O professor me pediu para descobrir ao menos dez Espíritos para a pesquisa dele. Como recompensa, ele me dará um item que me permite ver o nível de um Espírito acima da cabeça dele quando eu estiver no campo!	Descobrir 10 Espíritos diferentes;Entregar a pesquisa no Centro de Ciências;Aguardar por uma carta de Zed	精灵研究：精灵基础知识{desc}教授让我为他的研究至少找到 10 个精灵。作为奖励，他会送我一件物品，让我在野外时可以看到精灵头上显示的等级！	找到 10 个不同的精灵;在科学中心提交精灵以供研究;等待泽德的来信	精霊の研究：精霊の基本{desc}教授に研究のために10体以上の精霊を見つけるよう頼まれた。報酬に、フィールド上で精霊のレベルがその頭上に見えるようになるアイテムをくれるって！	異なる精霊を10体見つける;科学センターで調査を提出する;ゼッドからの手紙を待つ	Наука о духах: Основы духологии{desc}Профессор попросил меня собрать данные о как минимум десяти новых Духах для его исследований. В награду он даст мне предмет, показывающий уровень дикого Духа над его головой.	Найди 10 различных Духов;Сдай исследовательские данные в Научный Центр;Дождись письма от Зетта
professor_research3	tame_psychic;turn_in;letter	Spirit Research: Advanced Spiritology{desc}The Professor told me about rare Psychic Spirits that can be found inside storms, and asked me to tame one. These storms take place on one random island a night...	Tame a Psychic Spirit;Turn in research at the Science Center;Wait for a letter from Zed	Esprits : étude plus poussée{desc}Le professeur m'a parlé des esprits psychiques qui apparaissent lors de tempêtes et il m'a demandé d'en apprivoiser un. Ces tempêtes éclatent sur une île aléatoire chaque nuit...	Apprivoiser un esprit psychique;Transmettre des données sur les esprits au labo;Attendre de recevoir du courrier de Zed	Geister: Fortgeschrittene Geisterkunde{desc}Der Professor hat mir von seltenen Psychogeistern berichtet, die im Inneren von Stürmen leben, und er hat mich gebeten ein Exemplar zu zähmen. Diese Stürme toben immer nachts auf einer zufälligen Insel ...	Zähme einen Psychogeist;Reiche deine Forschung beim Forschungszentrum ein;Warte auf einen Brief von Zed	Espíritu: espiritología avanzada{desc}El profesor me ha hablado sobre los espíritus psíquicos poco comunes que aparecen en el interior de las tormentas y me ha pedido que dome a uno. Estas tormentas se producen cada noche en una isla al azar...	Doma a un espíritu psíquico;Entrega el informe en el centro científico;Espera a recibir una carta de Zed	Espíritos: espiritologia avançada{desc}O professor me contou sobre um tipo raro de Espírito Paranormal que pode ser encontrado dentro das tempestades, e me pediu para domar um para ele. Estas tempestades acontecem à noite em uma ilha aleatória...	Domar um Espírito Paranormal;Entregar a pesquisa no Centro de Ciências;Aguardar por uma carta de Zed	精灵研究：高级精灵学{desc}教授告诉我说，在风暴中可以找到稀有的通灵精灵，并叫我驯服一个通灵精灵。每晚都会在一个随机的岛屿上发生这种风暴……	驯服一个通灵精灵;在科学中心提交精灵以供研究;等待泽德的来信	精霊の研究：上級精霊学{desc}教授から、嵐のさいちゅうに見つかる珍しいエスパーの精霊について聞いた。1体を手なづけてほしいらしい。そういった嵐は、夜にランダムな島の1つで発生するとか…	エスパーの精霊を手なづける;科学センターで調査を提出する;ゼッドからの手紙を待つ	Наука о духах: Продвинутая духология{desc}Профессор рассказал мне о редких Магических Духах, которые можно найти во время магического шторма, и попросил меня приручить одного. Вроде бы эти шторма случаются на одном случайном острове каждую ночь...	Приручи магического Духа;Сдай исследовательские данные в Научный Центр;Дождись письма от Зетта
professor_research4	hatch;letter	Spirit Research: Intro to Egg{desc}Zed asked me to hatch a Spirit from an egg! Once I've built the Spirit Barn in the Moonstone Enchanter, I'll need to place a stall in the barn, then add a nest, then place an egg inside the nest... and wait for it to hatch!	Hatch a Spirit in a Spirit Barn;Wait for a letter from Zed	Esprits : place aux œufs{desc}Zed m'a demandé de faire éclore un œuf d'esprit ! Une fois que j'aurai construit l'abri à esprits grâce à l'enchanteur de pierres de lune, il faudra que j'y installe une mangeoire ainsi qu'un nid où je placerai ensuite un œuf. Après, il ne me restera plus qu'à attendre !	Faire éclore un œuf d'esprit dans l'abri à esprits;Attendre de recevoir du courrier de Zed	Geister: Eierkunde{desc}Zed hat mich gebeten, einen Geist aus einem Ei schlüpfen zu lassen. Wenn ich eine Geisterscheune mit dem Mondsteinverzauberer gebaut habe, muss ich eine Box in der Scheune einrichten, ihr ein Nest hinzufügen, ein Ei ins Nest legen ... und darauf warten, dass es schlüpft.	Brüte einen Geist in einer Geisterscheune aus;Warte auf einen Brief von Zed	Espíritu: huevos{desc}¡Zed me ha pedido que haga eclosionar un espíritu! En cuanto haya construido el establo para espíritus con el encantador de piedra lunar, tengo que montar un pesebre y añadir un nido. Después, coloco el huevo dentro... ¡y espero a que eclosione!	Haz que un espíritu eclosione en el establo;Espera a recibir una carta de Zed	Espíritos: introdução aos ovos{desc}O Zed me pediu para chocar um ovo de Espírito! Assim que eu criar a Morada dos Espíritos no Encantador de Selenita, vou precisar instalar um comedouro lá, depois um ninho, e então colocar o ovo dentro do ninho... e esperar ele ser chocado!	Chocar um Espírito na Morada dos Espíritos;Aguardar por uma carta de Zed	精灵研究：精灵蛋入门{desc}泽德叫我用精灵蛋孵化出一个精灵！我在月石魔法台中建造了精灵棚之后，需要在精灵棚中放置一个隔间，然后添加一个巢，然后在巢中放置一个蛋……然后等待它孵化！	在精灵棚中孵化一个精灵;等待泽德的来信	精霊の研究：タマゴ入門{desc}ゼッドに精霊のタマゴをふ化させるよう頼まれた！ ムーンストーンエンチャンターで精霊の小屋を建てたら、小屋の中に房を設置しなくちゃ。それから巣を追加して、そこにタマゴを置く… あとはふ化するのを待つだけ！	精霊の小屋で精霊をふ化させる;ゼッドからの手紙を待つ	Наука о духах: Высиживание яиц{desc}Зетт попросил меня вывести Духа из яйца! Как только я создам Амбар в Лунном Зачаровывателе, я смогу установить там стойло, в стойло поместить гнездо, а в гнездо положить яйцо... и останется лишь подождать, пока оно выведется!	Выведи Духа из яйца в Амбаре;Дождись письма от Зетта
professor_research5	banish_dark;turn_in;letter	Spirit Research: Final Exam{desc}Zed wants me to try banishing a Dark Spirit. They're super strong, and only on the most distant islands, so I have to be prepared.	Banish a Dark Spirit;Turn in research at the Science Center;Wait for a letter from Zed	Esprits : examen final{desc}Zed veut que j'essaie de bannir un esprit ténébreux. Ils sont très puissants et vivent uniquement sur les îles les plus lointaines, donc j'ai intérêt à me préparer comme il faut.	Bannir un esprit ténébreux;Transmettre des données sur les esprits au labo;Attendre de recevoir du courrier de Zed	Geister: Abschlussprüfung{desc}Zed will, dass ich einen Dunkelgeist banne. Diese Geister sind extrem stark und kommen nur auf den entferntesten Inseln vor, darum muss ich gut vorbereitet sein.	Banne einen Dunkelgeist;Reiche deine Forschung beim Forschungszentrum ein;Warte auf einen Brief von Zed	Espíritu: examen final{desc}Zed quiere que intente desterrar a un espíritu oscuro. Son superfuertes y solo aparecen en las islas más lejas, así que tengo que prepararme bien.	Destierra a un espíritu oscuro;Entrega el informe en el centro científico;Espera a recibir una carta de Zed	Espíritos: prova final{desc}O Zed quer que eu tente banir um Espírito Sombrio. Eles são muito fortes, e ficam nas ilhas mais distantes, então eu preciso estar preparade.	Banir um Espírito Sombrio;Entregar a pesquisa no Centro de Ciências;Aguardar por uma carta de Zed	精灵研究：期末考试{desc}泽德想让我试试驱逐黑暗精灵。这种精灵非常强大，只出没在最远的岛屿上，所以我必须做好万全准备。	驱逐一个黑暗精灵;在科学中心提交精灵以供研究;等待泽德的来信	精霊の研究：最終試験{desc}ゼッドが闇の精霊を撃退してほしがっている。超強い精霊で、一番遠くにある島にだけ生息しているから、しっかり準備しないと。	闇の精霊を撃退する;科学センターで調査を提出する;ゼッドからの手紙を待つ	Наука о духах: Итоговый экзамен{desc}Зетт хочет, чтобы я попытался победить в бою Темного Духа. Они очень сильные и водятся только на самых дальних островах, поэтому мне нужно тщательно подготовиться.	Победи Темного Духа;Сдай исследовательские данные в Научный Центр;Дождись письма от Зетта
professor_research6	spirits_all;turn_in;letter	Spirit Research: Extra Credit{desc}Professor Zed asked me to "catch them all" and then started singing a song about defending the world? I think this means that I have to discover one of every Spirit!	Discover all Spirits;Turn in research at the Science Center;Wait for a letter from Zed	Esprits : dernière mission{desc}Le professeur Zed m'a demandé de « tous les attraper », puis il a commencé à chanter une chanson dans laquelle il dit qu'un jour, il sera le meilleur dresseur... Si j'ai bien compris, ça veut dire que je dois découvrir chaque esprit qui existe.	Découvrir tous les esprits;Transmettre des données sur les esprits au labo;Attendre de recevoir du courrier de Zed	Geister: Bonusaufgabe{desc}Professor Zed hat mich gebeten, "sie alle zu fangen", und fing dann an, ein Lied über den Kampf um die Welt zu singen. Das bedeutet dann wohl, dass ich einen Geist jeder Art entdecken muss.	Entdecke alle Geister;Reiche deine Forschung beim Forschungszentrum ein;Warte auf einen Brief von Zed	Espíritu: puntos extra{desc}El profesor Zed me ha dicho: «¡Hazte con todos!» y luego ha empezado a cantar una canción sobre el destino y no sé qué de defender a mi amigo fiel... ¡Creo que quiere que descubra un ejemplar de cada espíritu!	Descubre a todos los espíritus;Entrega el informe en el centro científico;Espera a recibir una carta de Zed	Espíritos: trabalho extra{desc}O professor Zed me disse que "Temos que pegar" e depois começou a cantar uma música sobre defender o mundo. Acho que isso quer dizer que eu tenho que descobrir um Espírito de cada!	Descobrir todos os Espíritos;Entregar a pesquisa no Centro de Ciências;Aguardar por uma carta de Zed	精灵研究：额外学分{desc}泽德教授让我将它们“一网打尽”，然后开始唱一首关于保卫世界的歌？意思就是，我必须找出所有精灵吧！	找出所有精灵;在科学中心提交精灵以供研究;等待泽德的来信	精霊の研究：特別単位{desc}ゼッド教授に「ゲットだぜ」するよう頼まれた。その後、世界を守る歌を歌い始めたんだけど、何だったんだろう？ つまり精霊を全部見つけなくちゃいけないってことかな！	精霊をすべて見つける;科学センターで調査を提出する;ゼッドからの手紙を待つ	Наука о духах: Дополнительные баллы{desc}Профессор Зетт попросил меня "поймать их всех" и потом начал насвистывать какую-то песеснку. Я думаю, это значит, что мне нужно найти всех Духов!	Найди всех Духов;Сдай исследовательские данные в Научный Центр;Дождись письма от Зетта
professor_resources	enchanter;spiritBarn;clay;seaGlass;poison;sparks;fireball;darkMatter;dreamDrop;snowball	Spirit Research: Spirit Poop{desc}Professor Zed explained to me that if I craft a Spirit Barn and feed Fibre to the Spirits I keep in there, they will sometimes "drop" rare and powerful Spirit resources. He wants me to bring him one of each for his experiments.	Craft an Enchanter;Craft a Spirit Barn;Sell 1 Clay;Sell 1 Glass;Sell 1 Poison; Sell 1 Sparks;Sell 1 Fireball;Sell 1 Dark Matter;Sell 1 Dream Drop;Sell 1 Snowball	Esprits : ressources{desc}Le professeur Zed m'a expliqué que si je construisais un abri à esprits et que je donnais de la fibre aux esprits qui s'y trouvent, ils donneraient parfois de rares et puissantes ressources. Il veut que je lui apporte un exemplaire de chaque ressource pour ses expériences.	Fabriquer un enchanteur;Fabriquer un abri à esprits;Donner 1 boule d'argile;Donner 1 bout de verre de mer;Donner 1 goutte de poison;Donner 1 étincelle;Donner 1 boule de feu;Donner 1 boule de matière noire;Donner 1 goutte onirique;Donner 1 boule de neige	Geister: Hinterlassenschaften von Geistern{desc}Professor Zed hat mir erklärt, wenn ich eine Geisterscheune baue und die Geister, die ich dort halte, mit Fasern füttere, werden sie manchmal seltene und mächtige Geisterressourcen "hinterlassen". Er möchte, dass ich ihm je eine für seine Experimente vorbeibringe.	Stelle einen Verzauberer her;Stelle eine Geisterscheune her;Gib 1 Ton;Gib 1 Seeglas;Gib 1 Gift;Gib 1 Funken;Gib 1 Feuerball;Gib 1 Dunkle Materie;Gib 1 Traumtropfen;Gib 1 Schneeball	Espíritu: popó de espíritu{desc}El profesor Zed me explicó que, si construyo un establo para espíritus y les doy de comer fibras, a veces «sueltan» recursos inusuales y poderosos. Quiere que le lleve uno de cada para sus experimentos.	Fabrica un encantador;Construye un establo para espíritus;Entrega 1 de arcilla;Entrega 1 de cristal marino;Entrega 1 de veneno;Entrega 1 de chispas;Entrega 1 de bola de fuego;Entrega 1 de materia oscura;Entrega 1 de gota onírica;Entrega 1 de bola de nieve	Espíritos: fezes de Espíritos{desc}O professor Zed me explicou que se eu criar uma Morada dos Espíritos e alimentar com capim os Espíritos que eu colocar lá, eles vão "deixar cair" recursos raros e poderosos de vez em quando. Ele quer que eu leve um de cada para os experimentos dele.	Criar um Encantador;Criar uma Morada dos Espíritos;Dar 1 Argila;Dar 1 Vidro;Dar 1 Veneno;Dar 1 Faísca;Dar 1 Bola de Fogo;Dar 1 Matéria Obscura;Dar 1 Gota de Sonho;Dar 1 Bola de Neve	精灵研究：精灵粪便{desc}泽德教授向我解释了怎么获得精灵资源，只要制作一个精灵棚并向里面的精灵喂食纤维，它们有时就会“掉落”稀有且强大的精灵资源。他希望我把每一种资源都给他带一样，供他做实验。	制造一个魔法台;制造一个精灵棚;送出 1 份粘土;送出 1 份玻璃;送出 1 份毒药;送出 1 火花;送出 1 份火球;送出 1 份暗物质;送出 1 份梦露;送出 1 份雪球	精霊の研究：精霊の落としもの{desc}ゼッド教授が言うには、精霊の小屋を作って、その中の精霊に繊維をあげたら、ときどき貴重で強力な精霊の素材を「落とす」ことがあるって。それを実験用に1つ持って来てほしがっている。	エンチャンターを作る;精霊の小屋を作る;粘土を1つ渡す;シーグラスを1つ渡す;毒を1つ渡す;スパークを1つ渡す;火の玉を1つ渡す;ダークマターを1つ渡す;ドリームドロップを1つ渡す;雪玉を1つ渡す	Наука о духах: Духовые экскременты{desc}Профессор Зетт объяснил мне, что если содержать духов в Амбаре и кормить их сеном, они иногда будут.. эээ, "производить" редкие и ценные субстанции. Он хочет, чтобы я принес ему каждого по одной штучке для его экспериментов.	Создай Зачаровыватель;Построй Амбар;Продай 1 глину;Продай 1 морское стекло;Продай 1 яд; Продай 1 искры;Продай 1 огненный шар;Продай 1 темную материю;Продай 1 каплю мечты;Продай 1 снежок
																	
